종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
006040,동원산업,"44,300","450","1.03","5,694,120,125","1,955,755,779,800"
014820,동원시스템즈,"27,900","-850","2.96","1,167,897,950","808,856,767,800"
000150,두산,"942,000","-31,000","3.19","135,238,024,000","15,254,592,570,000"
454910,두산로보틱스,"100,100","-2,400","2.34","26,733,915,600","6,488,479,998,000"
241560,두산밥캣,"64,700","-2,300","3.43","23,610,341,550","6,201,887,405,500"
034020,두산에너빌리티,"96,700","1,200","1.26","1,704,821,868,400","61,942,262,818,200"
023530,롯데쇼핑,"113,300","1,500","1.34","23,327,521,300","3,205,115,941,500"
280360,롯데웰푸드,"131,900","2,300","1.77","3,520,378,350","1,227,273,310,600"
004000,롯데정밀화학,"48,550","-600","1.22","3,340,769,675","1,252,590,000,000"
004990,롯데지주,"36,050","2,400","7.13","46,581,821,950","3,781,977,993,850"
005300,롯데칠성,"140,600","1,500","1.08","4,234,487,300","1,304,611,090,400"
011170,롯데케미칼,"80,300","-1,700","2.07","11,784,130,350","3,434,866,145,700"
138040,메리츠금융지주,"136,300","1,300","0.96","59,889,387,750","23,882,727,659,900"
006800,미래에셋증권,"61,600","8,200","15.36","1,365,693,214,350","34,932,481,214,400"
081660,미스토홀딩스,"53,000","400","0.76","7,178,127,600","2,813,867,520,000"
002840,미원상사,"151,600","-4,400","2.82","956,150,650","720,100,000,000"
268280,미원에스씨,"140,500","-4,400","3.04","525,449,150","702,500,000,000"
062040,산일전기,"145,500","-7,100","4.65","43,789,983,650","4,444,326,600,000"
028050,삼성E&A,"33,900","100","0.30","21,317,163,350","6,644,400,000,000"
006400,삼성SDI,"374,500","-11,000","2.85","194,793,382,250","30,179,280,985,000"
028260,삼성물산,"318,000","-16,000","4.79","182,236,024,500","54,052,540,992,000"
207940,삼성바이오로직스,"1,710,000","-9,000","0.52","51,458,025,500","79,157,526,210,000"
032830,삼성생명,"205,500","500","0.24","57,436,107,750","41,100,000,000,000"
018260,삼성에스디에스,"170,400","-2,100","1.22","21,622,414,550","13,185,177,120,000"
0126Z0,삼성에피스홀딩스,"603,000","-7,000","1.15","38,285,693,500","15,004,478,547,000"
009150,삼성전기,"309,500","-10,000","3.13","115,604,158,500","23,117,698,912,000"
005930,삼성전자,"181,200","2,600","1.46","6,257,951,155,967","1,072,638,391,466,400"
010140,삼성중공업,"27,700","-450","1.60","111,443,380,700","24,376,000,000,000"
016360,삼성증권,"101,000","3,900","4.02","128,411,449,800","9,019,300,000,000"
029780,삼성카드,"62,300","800","1.30","7,873,390,400","7,218,008,909,300"
000810,삼성화재,"559,000","-22,000","3.79","145,716,567,268","25,720,235,645,000"
003230,삼양식품,"1,190,000","-29,000","2.38","49,624,819,500","8,964,287,850,000"
004490,세방전지,"66,900","-800","1.18","2,523,851,750","927,234,000,000"
001430,세아베스틸지주,"74,100","200","0.27","27,320,061,200","2,657,383,017,900"
003030,세아제강지주,"136,000","-3,400","2.44","2,822,374,550","563,265,352,000"
068270,셀트리온,"238,000","-500","0.21","160,212,903,500","54,989,486,118,000"
004170,신세계,"364,000","-1,000","0.27","23,699,816,500","3,510,845,884,000"
055550,신한지주,"102,500","-3,500","3.30","313,596,768,900","49,763,230,735,000"
112610,씨에스윈드,"42,600","-1,450","3.29","12,911,582,050","1,796,501,767,800"
090430,아모레퍼시픽,"161,000","1,600","1.00","52,462,023,700","9,417,334,199,000"
002790,아모레퍼시픽홀딩스,"34,450","100","0.29","7,021,248,900","2,737,334,301,000"
002030,아세아,"288,500","-2,500","0.86","534,545,750","597,958,371,000"
137310,에스디바이오센서,"8,810","-190","2.11","1,289,276,065","1,072,609,588,620"
005850,에스엘,"52,500","-2,000","3.67","8,657,906,250","2,438,547,300,000"
012750,에스원,"92,200","-1,900","2.02","7,615,568,900","3,503,524,211,600"
278470,에이피알,"272,000","-10,000","3.55","116,990,659,250","10,181,138,160,000"
450080,에코프로머티,"65,800","-4,100","5.87","80,665,812,250","4,642,766,013,200"
036570,엔씨소프트,"212,000","-3,500","1.62","22,195,188,500","4,567,332,664,000"
066970,엘앤에프,"113,100","-5,600","4.72","91,842,304,100","4,551,113,915,400"
111770,영원무역,"90,700","-700","0.77","7,533,640,750","4,019,050,147,600"
009970,영원무역홀딩스,"233,000","-9,000","3.72","4,727,995,000","3,145,322,221,000"
000670,영풍,"60,100","-200","0.33","1,630,456,600","1,086,484,795,000"
007310,오뚜기,"402,500","-2,500","0.62","2,794,413,750","1,613,151,575,000"
271560,오리온,"139,200","600","0.43","19,978,958,050","5,503,429,574,400"
001800,오리온홀딩스,"24,750","500","2.06","4,919,232,150","1,550,474,194,500"
316140,우리금융지주,"38,950","-200","0.51","189,412,308,025","28,592,272,664,000"
000100,유한양행,"108,800","-600","0.55","24,776,072,400","8,665,658,988,800"
008730,율촌화학,"27,650","-850","2.98","1,244,112,000","685,720,000,000"
