date,f01_raw,f01_score,f02_raw,f02_score,f03_raw,f03_score,f04_raw,f04_score,f05_raw,f05_score,f06_raw,f06_score,f07_raw,f07_score,f08_raw,f08_score,f09_raw,f09_score,f10_score,index_score_total,bucket_5pt,w_f08_applied
2018-03-22,,,-0.34872052182639235,,0.844156447417317,,,,,,,,,,,,,,,0.0,0.0,
2018-03-23,,,-0.8410722833891814,,0.7980573751976507,,,,,,,,,,,,,,,0.0,0.0,
2018-03-26,,,0.4201005025125628,,0.8184599926927293,,,,,,,,,,,,,,,0.0,0.0,
2018-03-27,,,0.3961499493414387,,0.8634342677961342,,,,,,,,,,,,,,,0.0,0.0,
2018-03-28,,,-0.4259909683893628,,0.8496610641656607,,,,,,,,,,,,,,,0.0,0.0,
2018-03-29,,,0.2117465224111283,,0.9054940843990995,,,,,,,,,,,,,,,0.0,0.0,
2018-03-30,,,0.4420686225758329,,0.9721107643532967,,,,,,,,,,,,,,,0.0,0.0,
2018-04-02,,,-0.23928215353938184,,1.0022141706924315,,,,,,,,,,,,,,,0.0,0.0,
2018-04-03,,,-0.03857868020304569,,0.9627491612393921,,,,,,,,,,,,,,,0.0,0.0,
2018-04-04,,,-0.555667001003009,,0.9557282699591716,,,,,,,,,,,,,,,0.0,0.0,
2018-04-05,,,0.2422233554309026,,0.9400107385171084,,,,,,,,,,,,,,,0.0,0.0,
2018-04-06,,,-0.23538383324860193,,0.8736911612112065,,,,,,,,,,,,,,,0.0,0.0,
2018-04-09,,,-0.09883426254434871,,0.8178903494709843,,,,,,,,,,,,,,,0.0,0.0,
2018-04-10,,,-0.09155645981688708,,0.8178154339363407,,,,,,,,,,,,,,,0.0,0.0,
2018-04-11,,,0.21359715880263824,,0.847880763856544,,,,,,,,,,,,,,,0.0,0.0,
2018-04-12,,,0.029087261785356068,,0.8561406790758582,,,,,,,,,,,,,,,0.0,0.0,
2018-04-13,,,0.257026060296372,,0.8757978346177485,,,,,,,,,,,,,,,0.0,0.0,
2018-04-16,,,0.1653061224489796,,0.9261004761442037,,,,,,,,,,,,,,,0.0,0.0,
2018-04-17,,,0.17223650385604114,,0.9394235944610265,,,,,,,,,,,,,,,0.0,0.0,
2018-04-18,,,0.06551549009649568,,0.968209815219551,,,,,,,,,,,,,,,0.0,0.0,
2018-04-19,,,-0.0262891809908999,,1.0001514921981518,,,,,,,,,,,,,,,0.0,0.0,
2018-04-20,,,0.2609137055837564,,1.1222055030094582,,,,,,,,,,,,,,,0.0,0.0,
2018-04-23,,,-0.21965897693079237,,1.0519561490102354,,,,,,,,,,,,,,,0.0,0.0,
2018-04-24,,,-0.009193054136874362,,1.0101838179133358,,,,,,,,,,,,,,,0.0,0.0,
2018-04-25,,,-0.35545500251382606,,1.0174793008279668,,,,,,,,,,,,,,,0.0,0.0,
2018-04-26,,,0.23218862121988723,,1.0196419437340154,,,,,,,,,,,,,,,0.0,0.0,
