date,n,ret_net_mean,ret_gross_mean,hit_up20,hit_pos,cum_ret_net
2025-01-02,10,0.03479648220369754,0.03791021284222419,0.2,0.6,0.034796482203697465
2025-01-03,10,0.016256519938163738,0.01931446332814819,0.2,0.5,0.0516186718485836
2025-01-06,10,0.050310205053172796,0.053470616903884424,0.3,0.6,0.10452582286703094
2025-01-07,10,0.11635535146502418,0.11971449494987381,0.3,0.6,0.23304331318891935
2025-01-08,10,0.15161645672034224,0.1550817018258197,0.3,0.6,0.4199929713173345
2025-01-09,10,0.1813837559466598,0.18493857166164468,0.3,0.9,0.6775566298727302
2025-01-10,10,0.17082785668992254,0.17435090941817705,0.4,0.6,0.9641300334298586
2025-01-13,10,0.13800820111202644,0.14143249860784998,0.3,0.7,1.2351960860936178
2025-01-14,10,0.17988081398974126,0.18343110731167625,0.4,0.6,1.6372649774868213
2025-01-15,10,0.20760027784379184,0.2112339797831413,0.5,0.7,2.1847619195607866
2025-01-16,10,0.18885118806810008,0.1924284734885658,0.4,0.8,2.786207991783884
2025-01-17,10,0.11546778557124608,0.11882425834628493,0.4,0.8,3.2233930443073238
2025-01-20,10,0.0875005045168119,0.09077282298576922,0.2,0.5,3.5929420664570086
2025-01-21,10,0.09318474588192657,0.09647416838708782,0.3,0.5,4.0209342057702155
2025-01-22,10,0.14855836581695386,0.15201440904408614,0.4,0.6,4.766835986253883
2025-01-23,10,0.11735895341154667,0.12072111676183214,0.3,0.6,5.443625822096684
2025-01-24,10,0.01328638483895821,0.01633539101199418,0.1,0.6,5.5292383145273085
2025-01-31,10,0.04687136315077474,0.05002142743307396,0.2,0.6,5.83527261466547
2025-02-03,10,0.12359950767817884,0.12698044902525463,0.3,0.7,6.68010894468426
2025-02-04,10,0.08326792955983771,0.08652751209612611,0.3,0.7,7.31961571530211
2025-02-05,10,0.142987915353673,0.1464271969445065,0.4,0.6,8.509220222976817
2025-02-06,10,0.15064758191264324,0.15410991164758597,0.4,0.7,9.94176125544308
2025-02-07,10,0.062214806210186824,0.06541103932817138,0.3,0.5,10.622500811548601
2025-02-10,10,0.05830237796558678,0.06148683848102986,0.2,0.6,11.300120246768845
2025-02-11,10,0.018765753522365147,0.02183124726415761,0.2,0.6,11.530941271615161
2025-02-12,10,-0.006465049558455727,-0.0034754759864149888,0.1,0.4,11.44992811528007
2025-02-13,10,-0.023327067596446437,-0.020388232293326425,0.1,0.4,11.159507800564032
2025-02-14,10,-0.02285299114491417,-0.019912729332912917,0.1,0.5,10.881626676471228
2025-02-17,10,-0.027905744942140688,-0.024980687003150148,0.1,0.3,10.550061032939887
2025-02-18,10,-0.07341479918116818,-0.07062667921882466,0.0,0.3,9.702115621676368
2025-02-19,10,-0.1405396741488282,-0.13795353475308744,0.0,0.2,8.198043779502887
2025-02-20,10,-0.02634258617509727,-0.023412824649044428,0.0,0.5,7.955743518599016
2025-02-21,10,-0.03678638493224157,-0.03388804907947999,0.0,0.5,7.626294090169404
2025-02-24,10,-0.04847168893253445,-0.04560851447596233,0.0,0.4,7.208163046390151
2025-02-25,10,-0.05816095120676701,-0.05532693200277529,0.1,0.5,6.730768475951866
2025-02-26,10,-0.11580362702704203,-0.11314305619562895,0.0,0.3,5.8355174467303215
2025-02-27,10,-0.08388038036166985,-0.08112375161651939,0.0,0.2,5.2621516433297515
2025-02-28,10,-0.050750566348892946,-0.047894249096181514,0.1,0.5,4.944343900868116
2025-03-04,10,-0.09431437476039191,-0.09158914218695276,0.1,0.3,4.383706822496991
2025-03-05,10,-0.08286804218247355,-0.0801083672843265,0.0,0.3,3.937569578432239
2025-03-06,10,-0.11469657365740751,-0.11203267167242478,0.1,0.1,3.371247265591011
2025-03-07,10,-0.08379872362235412,-0.0810418491698637,0.1,0.2,3.0049423240967785
2025-03-10,10,-0.16422042839772005,-0.16170554503281848,0.1,0.1,2.3472489799254452
2025-03-11,10,-0.1763558882829743,-0.17387752084551084,0.0,0.1,1.7569419127664134
2025-03-12,10,-0.14171763025695458,-0.13913503536304372,0.0,0.1,1.3662346381330814
2025-03-13,10,-0.12520936214239264,-0.12257709342266063,0.1,0.2,1.0699599084132032
2025-03-14,10,-0.04965826886656806,-0.04679866486115153,0.0,0.3,0.9671692827382037
2025-03-17,10,0.03466690800770822,0.037780248753970125,0.1,0.6,1.0353649592984784
2025-03-18,10,0.013333864101874149,0.01638301314129802,0.1,0.6,1.0625042390634807
2025-03-19,10,-0.03735658650099827,-0.03445996640019885,0.0,0.5,0.9854561210482302
2025-03-20,10,0.017755848345277537,0.020818303255042667,0.0,0.6,1.0207095788297655
2025-03-21,10,0.09927974588708204,0.10258750841231898,0.1,0.9,1.2213251123275772
2025-03-24,10,0.014409983570733476,0.017462370682781836,0.1,0.5,1.253334370701475
2025-03-25,10,0.034811580700038404,0.037925356770349486,0.0,0.5,1.3317765019913197
2025-03-26,10,0.07400476755302318,0.07723647698397511,0.0,0.8,1.5043390800067886
2025-03-27,10,0.046391232310583654,0.04953985186618219,0.2,0.6,1.6205184560518573
2025-03-28,10,0.1000407570594378,0.10335080948790151,0.3,0.6,1.8826771062835141
2025-03-31,10,0.1285347204080587,0.13193051194389038,0.4,0.7,2.253201202166377
2025-04-01,10,0.029749343297172482,0.03284788695804662,0.2,0.5,2.349981801544399
2025-04-02,10,-0.009351017154738272,-0.00637012753735032,0.1,0.4,2.318656064250096
2025-04-03,10,0.05646757680059369,0.05964651634964262,0.2,0.6,2.506052530432895
2025-04-04,10,0.061222964221814426,0.0644162128603956,0.3,0.5,2.7207034590633903
2025-04-07,10,0.16538468907875709,0.1688913631682619,0.5,0.7,3.336050843794845
2025-04-08,10,0.14201065267143825,0.14544699365239544,0.4,0.6,3.9518162541386914
2025-04-09,10,0.028663440828454366,0.031758716979392546,0.2,0.4,4.093752346332574
2025-04-10,10,-0.06221427440784653,-0.05939245176313592,0.2,0.3,3.7768482400922263
2025-04-11,10,-0.03544414075271403,-0.032541766050866616,0.2,0.3,3.607536958716043
2025-04-14,10,-0.08251808223741905,-0.07975735430032002,0.1,0.2,3.2273318450447652
2025-04-15,10,-0.020836834518771108,-0.017890506036881738,0.2,0.3,3.139247630933636
2025-04-16,10,-0.07835491131972036,-0.07558165628858608,0.2,0.2,2.8149172498814683
2025-04-17,10,-0.08500490929894775,-0.08225166429182325,0.2,0.3,2.4906305550723027
2025-04-18,10,-0.03430810501577519,-0.031402311951630055,0.2,0.4,2.3708736354176083
2025-04-21,10,-0.06556805977584072,-0.06275632876212713,0.1,0.3,2.1498519913937413
2025-04-22,10,-0.07474368675370842,-0.07195956545005858,0.1,0.3,1.9144204408284629
2025-04-23,10,-0.020957218986879446,-0.01801125274511477,0.2,0.5,1.8533422934301833
2025-04-24,10,0.01160492143704649,0.014648868041169988,0.2,0.5,1.8864551065784423
2025-04-25,10,-0.028659269367805086,-0.025736478804217717,0.1,0.4,1.8037314121609342
2025-04-28,10,0.041155324610637256,0.04428818917817175,0.2,0.6,1.9191198885494583
2025-04-29,10,0.02969856360079729,0.03279695446418988,0.1,0.6,2.005813556217897
2025-04-30,10,0.0826334981173824,0.08589117163227927,0.4,0.7,2.254194445056831
2025-05-02,10,0.09976958900186747,0.10307882547830235,0.3,0.5,2.5788640873723114
2025-05-07,10,0.10195152806864698,0.10526733005882342,0.3,0.6,2.9437347498299222
