factor,base_factor,group,w_final
f06_c,f06,G3,0.24820318950342535
f04,f04,G1,0.14846825072049905
f10_c,f10,G3,0.13526106385056696
f05_c,f05,G3,0.12891059498951668
f01,f01,G2,0.12396092081417848
f07,f07,G3,0.08762515165649103
f08_c,f08,G1,0.05238244872304285
f02,f02,G1,0.0491493005564581
f03_c,f03,G2,0.026039079185821525
