factor,base_factor,group,w_final
f09_c,f09,G3,0.2069210033107461
f06_c,f06,G3,0.17417237836262028
f04,f04,G1,0.15000655414363204
f08,f08,G1,0.12554944378064456
f05_c,f05,G3,0.08825317533192303
f03_c,f03,G2,0.0862019980630017
f07,f07,G3,0.07036133548396037
f01,f01,G2,0.0637980019369983
f02,f02,G1,0.02444400207572343
f10_c,f10,G3,0.010292107510750327
