factor,base_factor,is_contrarian,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all,score,tag
f01,f01,0,1713,kospi_close,10,0.07701557966029872,0.10715381187611364,0.5394264145949419,0.6647230320699709,0.5830903790087464,0.08163265306122447,0.5528312901342674,0.11783190619091095,8Y
f02,f02,0,1713,kospi_close,10,0.03344188347983542,0.028685608299139936,0.5172993733130044,0.5889212827988338,0.5597667638483965,0.029154518950437303,0.5528312901342674,0.04801914295505407,8Y
f03_c,f03,1,1713,kospi_close,10,0.005724885919584688,-0.03573216061868009,0.5145229817397802,0.5714285714285714,0.5335276967930029,0.03790087463556846,0.5528312901342674,0.02467532323736892,8Y
f04,f04,0,1713,kospi_close,10,0.10694696145034462,0.11124744913717877,0.5477990135125076,0.6530612244897959,0.5481049562682215,0.10495626822157433,0.5528312901342674,0.15942509556113177,8Y
f05_c,f05,1,1713,kospi_close,10,0.10230082854815306,0.08336063664073816,0.5614824607596891,0.6005830903790087,0.43731778425655976,0.16326530612244894,0.5528312901342674,0.18393348160937753,8Y
f06_c,f06,1,1713,kospi_close,10,0.25806379146574915,0.1965406217177262,0.6202967458043953,0.7142857142857143,0.46938775510204084,0.24489795918367346,0.5528312901342674,0.38051277105758585,8Y
f07,f07,0,1713,kospi_close,10,0.09562883654672232,0.04652402467057618,0.5594105061745074,0.565597667638484,0.4418604651162791,0.12373720252220488,0.5528312901342674,0.15749743780782477,8Y
f08_c,f08,1,1713,kospi_close,10,0.02032291639625842,-0.009046814809353255,0.5113433654718349,0.6209912536443148,0.5523255813953488,0.06866567224896603,0.5528312901342674,0.05465575252074143,8Y
f10_c,f10,1,1713,kospi_close,10,0.09623628190389351,0.06164211953763924,0.5444622430045685,0.5821325648414986,0.43023255813953487,0.15190000670196369,0.5528312901342674,0.17218628525487534,8Y
