,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,kospi_close,kosdaq_close,k200_close,kospi_close_ret1d,kosdaq_close_ret1d,k200_close_ret1d
f01,1.0,0.08294110753102762,0.23750360858336875,0.24607918672350831,-0.41061785956207236,0.3841950092057272,0.1935811841351818,0.2944075850244831,0.18239954722135643,0.20546152427702405,0.4112856879474787,0.3157511121789308,0.3940900110436717,0.1937655788093665,0.14619982030600723,0.1971784343813287
f02,0.08294110753102762,1.0,0.20671990482912297,0.5734556539004816,0.01132295961974617,0.04097188165557351,0.1236688150691894,0.46811956537835847,-0.05107270711279061,-0.0507849591732043,0.03915281245523185,0.03463913836617871,0.037295354485417924,0.7205910775380056,0.8085606826645348,0.6837863711487772
f03,0.23750360858336875,0.20671990482912297,1.0,0.20152912906210282,0.02922837911752177,0.17299388525987985,0.30756524197386415,0.18303687681706307,-0.14423335597606302,-0.2765153015614291,0.06790327026106446,0.05438185073105407,0.05699665568205477,0.15937703822791696,0.16264977760558402,0.1462008661621886
f04,0.24607918672350831,0.5734556539004816,0.20152912906210282,1.0,-0.10267989060251288,0.05890507562151799,0.09408269026855719,0.511936797999092,-0.012391082151005784,-0.046394623910463326,0.1692799508454295,0.14385906762915257,0.16142610748710098,0.6790310145439736,0.5046969253895885,0.6603188411584738
f05,-0.41061785956207236,0.01132295961974617,0.02922837911752177,-0.10267989060251288,1.0,-0.4597877388203687,0.05249921547725956,-0.09804018508912442,-0.4069828581816649,-0.3397471738174704,-0.20951490336468478,-0.2575642155580791,-0.1923243609339595,-0.03876946385401799,-0.03597644815609386,-0.0450796674163855
f06,0.3841950092057272,0.04097188165557351,0.17299388525987985,0.05890507562151799,-0.4597877388203687,1.0,0.2100592100512341,0.14556092738987517,0.5132191520606566,0.14259648547677672,-0.30124081108574347,0.06627331680979458,-0.3223349472980112,0.04797721576496665,0.06512297004721704,0.04884884607119847
f07,0.1935811841351818,0.1236688150691894,0.30756524197386415,0.09408269026855719,0.05249921547725956,0.2100592100512341,1.0,0.19587333093636955,-0.15890000446459135,-0.06841814603017096,-0.13155162608352058,-0.12175024365035857,-0.12133993002633062,0.1308263946882003,0.14350921038916264,0.12669821691296831
f08,0.2944075850244831,0.46811956537835847,0.18303687681706307,0.511936797999092,-0.09804018508912442,0.14556092738987517,0.19587333093636955,1.0,-0.02387698246270186,0.019695855067666888,0.05673204053606491,0.04141526859555971,0.05459226526293838,0.6022525918811897,0.4625860708622074,0.6170254770671459
f09,0.18239954722135643,-0.05107270711279061,-0.14423335597606302,-0.012391082151005784,-0.4069828581816649,0.5132191520606566,-0.15890000446459135,-0.02387698246270186,1.0,0.20384666744917393,-0.03429202654102378,0.2241819279987565,-0.055150555080820354,-0.04482567843183689,-0.0388101552334071,-0.039198332717740175
f10,0.20546152427702405,-0.0507849591732043,-0.2765153015614291,-0.046394623910463326,-0.3397471738174704,0.14259648547677672,-0.06841814603017096,0.019695855067666888,0.20384666744917393,1.0,0.1954866033387556,0.3028937288631205,0.19948313634398743,-0.005352456693368834,0.0020503839315463485,0.0022766357624055683
kospi_close,0.4112856879474787,0.03915281245523185,0.06790327026106446,0.1692799508454295,-0.20951490336468478,-0.30124081108574347,-0.13155162608352058,0.05673204053606491,-0.03429202654102378,0.1954866033387556,1.0,0.6202608122422479,0.9986375223593713,0.1586893995972489,0.09334201831413062,0.16638586601970418
kosdaq_close,0.3157511121789308,0.03463913836617871,0.05438185073105407,0.14385906762915257,-0.2575642155580791,0.06627331680979458,-0.12175024365035857,0.04141526859555971,0.2241819279987565,0.3028937288631205,0.6202608122422479,1.0,0.616118574959619,0.1146002294379965,0.11003550713536395,0.1170544519990459
k200_close,0.3940900110436717,0.037295354485417924,0.05699665568205477,0.16142610748710098,-0.1923243609339595,-0.3223349472980112,-0.12133993002633062,0.05459226526293838,-0.055150555080820354,0.19948313634398743,0.9986375223593713,0.616118574959619,1.0,0.15696230483858878,0.09000223571628443,0.1652938376042212
kospi_close_ret1d,0.1937655788093665,0.7205910775380056,0.15937703822791696,0.6790310145439736,-0.03876946385401799,0.04797721576496665,0.1308263946882003,0.6022525918811897,-0.04482567843183689,-0.005352456693368834,0.1586893995972489,0.1146002294379965,0.15696230483858878,1.0,0.7878395567651105,0.989185519627719
kosdaq_close_ret1d,0.14619982030600723,0.8085606826645348,0.16264977760558402,0.5046969253895885,-0.03597644815609386,0.06512297004721704,0.14350921038916264,0.4625860708622074,-0.0388101552334071,0.0020503839315463485,0.09334201831413062,0.11003550713536395,0.09000223571628443,0.7878395567651105,1.0,0.7419004514298834
k200_close_ret1d,0.1971784343813287,0.6837863711487772,0.1462008661621886,0.6603188411584738,-0.0450796674163855,0.04884884607119847,0.12669821691296831,0.6170254770671459,-0.039198332717740175,0.0022766357624055683,0.16638586601970418,0.1170544519990459,0.1652938376042212,0.989185519627719,0.7419004514298834,1.0
