factor,base_factor,is_contrarian,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all,score,tag
f01,f01,0,1718,kospi_close,5,0.06752205962465277,0.09398302473260975,0.5204207237641032,0.6453488372093024,0.6046511627906976,0.04069767441860472,0.5669383003492433,0.08787089683395513,8Y
f02,f02,0,1718,kospi_close,5,0.03333565541186963,0.047633153109128946,0.5200909121017421,0.5959302325581395,0.5697674418604651,0.026162790697674354,0.5669383003492433,0.046417050760706804,8Y
f03_c,f03,1,1718,kospi_close,5,0.0012762222820828389,-0.03492543422428593,0.495859414673997,0.5901162790697675,0.5930232558139535,-0.0029069767441860517,0.5669383003492433,0.0012762222820828389,8Y
f04,f04,0,1718,kospi_close,5,0.08216244870814254,0.0961198733846911,0.5470147214678412,0.6569767441860465,0.5261627906976745,0.130813953488372,0.5669383003492433,0.14756942545232854,8Y
f05_c,f05,1,1718,kospi_close,5,0.07579010017417125,0.0629919750985097,0.5461391336027025,0.6405797101449275,0.5087209302325582,0.13185877991236938,0.5669383003492433,0.14171949013035595,8Y
f06_c,f06,1,1718,kospi_close,5,0.21922314602985724,0.15146948686253997,0.5900827427082643,0.6976744186046512,0.5116279069767442,0.18604651162790697,0.5669383003492433,0.3122464018438107,8Y
f07,f07,0,1718,kospi_close,5,0.09152827373985253,0.0618961625063352,0.5477647325075622,0.6133720930232558,0.5,0.1133720930232558,0.5669383003492433,0.14821432025148043,8Y
f08_c,f08,1,1718,kospi_close,5,0.013788405563853513,-0.01234620865364253,0.5088642059128745,0.5959302325581395,0.5739130434782609,0.022017189079878596,0.5669383003492433,0.02479700010379281,8Y
f10_c,f10,1,1718,kospi_close,5,0.08251031229387541,0.06045811265094398,0.5541277516504383,0.6318840579710145,0.4418604651162791,0.19002359285473547,0.5669383003492433,0.17752210872124313,8Y
f01,f01,0,1713,kospi_close,10,0.07701557966029872,0.10715381187611364,0.5394264145949419,0.6647230320699709,0.5830903790087464,0.08163265306122447,0.5528312901342674,0.11783190619091095,8Y
f02,f02,0,1713,kospi_close,10,0.033545338014355774,0.028790101706188193,0.5173462438758095,0.5889212827988338,0.5597667638483965,0.029154518950437303,0.5528312901342674,0.048122597489574426,8Y
f03_c,f03,1,1713,kospi_close,10,0.005688402757861585,-0.03562337159982529,0.5145133319180262,0.5714285714285714,0.5335276967930029,0.03790087463556846,0.5528312901342674,0.024638840075645815,8Y
f04,f04,0,1713,kospi_close,10,0.10694696145034462,0.11124744913717877,0.5477990135125076,0.6530612244897959,0.5481049562682215,0.10495626822157433,0.5528312901342674,0.15942509556113177,8Y
f05_c,f05,1,1713,kospi_close,10,0.10230082854815306,0.08336063664073816,0.5614824607596891,0.6005830903790087,0.43731778425655976,0.16326530612244894,0.5528312901342674,0.18393348160937753,8Y
f06_c,f06,1,1713,kospi_close,10,0.25806379146574915,0.1965406217177262,0.6202967458043953,0.7142857142857143,0.46938775510204084,0.24489795918367346,0.5528312901342674,0.38051277105758585,8Y
f07,f07,0,1713,kospi_close,10,0.09562883654672232,0.04652402467057618,0.5594105061745074,0.565597667638484,0.4418604651162791,0.12373720252220488,0.5528312901342674,0.15749743780782477,8Y
f08_c,f08,1,1713,kospi_close,10,0.02032291639625842,-0.009046814809353255,0.5113433654718349,0.6209912536443148,0.5523255813953488,0.06866567224896603,0.5528312901342674,0.05465575252074143,8Y
f10_c,f10,1,1713,kospi_close,10,0.09623628190389351,0.06164211953763924,0.5444622430045685,0.5821325648414986,0.43023255813953487,0.15190000670196369,0.5528312901342674,0.17218628525487534,8Y
f01,f01,0,1703,kospi_close,20,0.12294107279457704,0.12654696682157132,0.543312854905718,0.6920821114369502,0.6041055718475073,0.08797653958944285,0.5619495008807985,0.16692934258929848,8Y
f02,f02,0,1703,kospi_close,20,0.0254414717385263,0.023822387985042884,0.5111510781289833,0.592375366568915,0.5526315789473685,0.03974378762154651,0.5619495008807985,0.04531336554929956,8Y
f03_c,f03,1,1703,kospi_close,20,0.007675992291738948,-0.036675168356631226,0.5302694131851939,0.5818713450292398,0.49266862170087977,0.08920272332835999,0.5619495008807985,0.05227735395591894,8Y
f04,f04,0,1703,kospi_close,20,0.08981269989721069,0.09212919822007672,0.5295452444384681,0.6334310850439883,0.5835777126099707,0.04985337243401755,0.5619495008807985,0.11473938611421947,8Y
f05_c,f05,1,1703,kospi_close,20,0.14493603254869591,0.10840445769177774,0.569780732348912,0.6099706744868035,0.43567251461988304,0.1742981598669205,0.5619495008807985,0.23208511248215616,8Y
f06_c,f06,1,1703,kospi_close,20,0.2813932196304903,0.23037712732354063,0.6097752975815285,0.7008797653958945,0.5014577259475219,0.19942203944837256,0.5619495008807985,0.3811042393546766,8Y
f07,f07,0,1703,kospi_close,20,0.045543569956374694,-0.004014168636039815,0.5281368272724472,0.5219941348973607,0.4662756598240469,0.05571847507331379,0.5619495008807985,0.07340280749303159,8Y
f08_c,f08,1,1703,kospi_close,20,0.03561872487552752,0.015098893676280237,0.5255679191844487,0.6217008797653959,0.5542521994134897,0.06744868035190621,0.5619495008807985,0.06934306505148063,8Y
f10_c,f10,1,1703,kospi_close,20,0.1167369803615621,0.08030362522845198,0.5755985948044744,0.6539589442815249,0.41642228739002934,0.23753665689149556,0.5619495008807985,0.23550530880730988,8Y
