fold_train_end,test_start_date,test_end_date,auc,brier,best_iteration,train_rows,test_rows,tag,horizon_days,target_col,n_rows_used,n_features,add_usdkrw_ret20
600,2025-05-12,2025-08-05,0.5579514824797843,0.6300104944388785,0,600,60,main,10,kospi_close,781,25,1
660,2025-08-06,2025-11-05,0.5186335403726708,0.23963193004990005,28,660,60,main,10,kospi_close,781,25,1
720,2025-11-06,2026-02-02,0.4206219312602291,0.1933122254874416,37,720,60,main,10,kospi_close,781,25,1
