date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2015-01-02,0,0,0,0,0,0,0,0,-47456880,47456880,0,0,0,0,0,0,0,0,0,0,578202750,56062335,0,634265085,0,0,0,0,0,0,0,0,625659630,8605455,0,634265085,0,0,0,0,0,0,0,0,-18905,18905,0,0,0,0,0,0,0,0,0,0,228837,22286,0,251123,0,0,0,0,0,0,0,0,247742,3381,0,251123
2015-01-05,0,0,0,0,0,0,0,0,-13258000,13258000,0,0,0,0,0,0,0,0,0,0,3311993205,61439320,0,3373432525,0,0,0,0,0,0,0,0,3325251205,48181320,0,3373432525,0,0,0,0,0,0,0,0,-4300,4300,0,0,0,0,0,0,0,0,0,0,1213950,22578,0,1236528,0,0,0,0,0,0,0,0,1218250,18278,0,1236528
2015-01-06,-6030000,0,0,0,0,0,0,178057075,-184495615,6836330,5632210,0,0,0,0,0,0,0,0,183839475,7375768240,110509675,5632210,7675749600,6030000,0,0,0,0,0,0,5782400,7560263855,103673345,0,7675749600,-2000,0,0,0,0,0,0,61000,-62749,1856,1893,0,0,0,0,0,0,0,0,63000,2516161,37759,1893,2618813,2000,0,0,0,0,0,0,2000,2578910,35903,0,2618813
2015-01-07,0,0,0,0,0,0,0,585000,78201610,-76568165,-2218445,0,0,0,0,0,0,0,0,585000,3704607730,47051160,5504585,3757748475,0,0,0,0,0,0,0,0,3626406120,123619325,7723030,3757748475,0,0,0,0,0,0,0,200,26490,-25887,-803,0,0,0,0,0,0,0,0,200,1255915,15962,1852,1273929,0,0,0,0,0,0,0,0,1229425,41849,2655,1273929
2015-01-08,-8955710,0,0,0,0,0,0,5505040,20014130,-16867660,304200,0,185029605,0,0,0,0,0,0,5505040,6479048755,57155540,304200,6727043140,193985315,0,0,0,0,0,0,0,6459034625,74023200,0,6727043140,-3000,0,0,0,0,0,0,1767,6419,-5286,100,0,60000,0,0,0,0,0,0,1767,2129561,19398,100,2210826,63000,0,0,0,0,0,0,0,2123142,24684,0,2210826
2015-01-09,0,0,0,0,0,0,0,-4830015,27045480,-19294215,-2921250,0,0,0,0,0,0,0,0,0,2453366430,34659435,0,2488025865,0,0,0,0,0,0,0,4830015,2426320950,53953650,2921250,2488025865,0,0,0,0,0,0,0,-1600,8758,-6208,-950,0,0,0,0,0,0,0,0,0,808058,11450,0,819508,0,0,0,0,0,0,0,1600,799300,17658,950,819508
2015-01-12,0,0,0,0,0,0,0,35,-2041855,2713320,-671500,0,0,0,0,0,0,0,0,2920,2588055730,45186455,1437500,2634682605,0,0,0,0,0,0,0,2885,2590097585,42473135,2109000,2634682605,0,0,0,0,0,0,0,0,-469,709,-240,0,0,0,0,0,0,0,0,1,897188,15517,500,913206,0,0,0,0,0,0,0,1,897657,14808,740,913206
2015-01-13,0,0,0,0,0,0,0,-480125,27585950,-21613155,-5492670,0,0,0,0,0,0,0,0,0,1833887500,13304545,839785,1848031830,0,0,0,0,0,0,0,480125,1806301550,34917700,6332455,1848031830,0,0,0,0,0,0,0,-167,9717,-7588,-1962,0,0,0,0,0,0,0,0,0,650606,4694,301,655601,0,0,0,0,0,0,0,167,640889,12282,2263,655601
2015-01-14,0,0,0,0,0,0,0,-50013385,9121680,41033225,-141520,0,0,0,0,0,0,0,0,0,4281013725,63063145,2991020,4347067890,0,0,0,0,0,0,0,50013385,4271892045,22029920,3132540,4347067890,0,0,0,0,0,0,0,-17698,3445,14272,-19,0,0,0,0,0,0,0,0,0,1472148,21786,1047,1494981,0,0,0,0,0,0,0,17698,1468703,7514,1066,1494981
2015-01-15,0,0,0,0,0,0,0,6120280,39841725,-46650805,688800,0,0,0,0,0,0,0,0,6736280,5561579445,20282785,1197000,5589795510,0,0,0,0,0,0,0,616000,5521737720,66933590,508200,5589795510,0,0,0,0,0,0,0,2004,12856,-15075,215,0,0,0,0,0,0,0,0,2204,1807246,6663,380,1816493,0,0,0,0,0,0,0,200,1794390,21738,165,1816493
2015-01-16,-6060000,0,0,0,0,0,0,0,11898365,-5791565,-46800,0,0,0,0,0,0,0,0,0,2248519775,55011390,261215,2303792380,6060000,0,0,0,0,0,0,0,2236621410,60802955,308015,2303792380,-2000,0,0,0,0,0,0,0,3842,-1830,-12,0,0,0,0,0,0,0,0,0,747126,18376,89,765591,2000,0,0,0,0,0,0,0,743284,20206,101,765591
2015-01-19,0,0,0,0,0,0,0,50780000,-71721420,22189115,-1247695,0,0,0,0,0,0,0,0,50780000,5720933515,70208915,0,5841922430,0,0,0,0,0,0,0,0,5792654935,48019800,1247695,5841922430,0,0,0,0,0,0,0,16000,-22791,7172,-381,0,0,0,0,0,0,0,0,16000,1784071,22247,0,1822318,0,0,0,0,0,0,0,0,1806862,15075,381,1822318
2015-01-20,0,0,0,0,0,0,0,-92357210,57530895,34826315,0,0,0,0,0,0,0,0,0,0,1974176280,62915470,0,2037091750,0,0,0,0,0,0,0,92357210,1916645385,28089155,0,2037091750,0,0,0,0,0,0,0,-29572,18551,11021,0,0,0,0,0,0,0,0,0,0,633006,20165,0,653171,0,0,0,0,0,0,0,29572,614455,9144,0,653171
2015-01-21,0,0,0,0,0,0,0,0,53072635,-53072635,0,0,0,0,0,0,0,0,0,0,1468055740,12108480,0,1480164220,0,0,0,0,0,0,0,0,1414983105,65181115,0,1480164220,0,0,0,0,0,0,0,0,16935,-16935,0,0,0,0,0,0,0,0,0,0,471542,3937,0,475479,0,0,0,0,0,0,0,0,454607,20872,0,475479
2015-01-22,0,0,0,0,0,0,0,0,-74660810,74660810,0,0,0,0,0,0,0,0,0,0,3340799530,138465230,0,3479264760,0,0,0,0,0,0,0,0,3415460340,63804420,0,3479264760,0,0,0,0,0,0,0,0,-24988,24988,0,0,0,0,0,0,0,0,0,0,1058804,45036,0,1103840,0,0,0,0,0,0,0,0,1083792,20048,0,1103840
2015-01-23,-10860000,0,0,0,0,0,0,-97277675,143617715,-37921460,2441420,0,0,0,0,0,0,0,0,56026215,13052694025,125230495,28560400,13262511135,10860000,0,0,0,0,0,0,153303890,12909076310,163151955,26118980,13262511135,-3000,0,0,0,0,0,0,-27673,39770,-9790,693,0,0,0,0,0,0,0,0,16242,3747591,37224,8097,3809154,3000,0,0,0,0,0,0,43915,3707821,47014,7404,3809154
