date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2015-01-02,85887250,0,367053350,-324900,0,0,-103374000,-40555250,-147863250,-161027200,204000,0,180017500,0,367687900,0,0,0,0,50966600,4877613650,98184250,204000,5574673900,94130250,0,634550,324900,0,0,103374000,91521850,5025476900,259211450,0,5574673900,5074,0,21323,-19,0,0,-6035,-2357,-8614,-9384,12,0,10500,0,21360,0,0,0,0,2991,284533,5732,12,325128,5426,0,37,19,0,0,6035,5348,293147,15116,0,325128
2015-01-05,16257500,1710550,0,0,0,0,0,-8724500,-81835750,27428200,45164000,0,68960000,1710550,0,0,0,0,0,15145500,4646342800,97896850,45164000,4875219700,52702500,0,0,0,0,0,0,23870000,4728178550,70468650,0,4875219700,962,100,0,0,0,0,0,-522,-4814,1634,2640,0,4000,100,0,0,0,0,0,878,270627,5717,2640,283962,3038,0,0,0,0,0,0,1400,275441,4083,0,283962
2015-01-06,136342000,582835300,111424200,-9200400,0,0,-527819800,-129419950,-281416750,99182800,18072600,0,137854100,582835300,111424200,0,0,0,0,19538000,8086664800,374596400,18072600,9330985400,1512100,0,0,9200400,0,0,527819800,148957950,8368081550,275413600,0,9330985400,8061,34706,6641,-553,0,0,-31817,-7697,-16338,5915,1082,0,8152,34706,6641,0,0,0,0,1180,483577,22369,1082,557707,91,0,0,553,0,0,31817,8877,499915,16454,0,557707
2015-01-07,142037500,0,-323202650,0,0,0,0,-45370250,375568550,-141030400,-8002750,0,142037500,0,51954250,0,0,0,0,12194500,4826881400,25037200,0,5058104850,0,0,375156900,0,0,0,0,57564750,4451312850,166067600,8002750,5058104850,8500,0,-19398,0,0,0,0,-2730,22532,-8428,-476,0,8500,0,3102,0,0,0,0,730,288719,1497,0,302548,0,0,22500,0,0,0,0,3460,266187,9925,476,302548
2015-01-08,116801700,369441600,293565350,0,0,0,0,-30918750,-626324600,-137039750,14474450,0,116801700,369441600,293565350,0,0,0,0,1158500,9679668350,95994200,26238050,10582867750,0,0,0,0,0,0,0,32077250,10305992950,233033950,11763600,10582867750,7146,23191,18038,0,0,0,0,-1917,-39000,-8372,914,0,7146,23191,18038,0,0,0,0,70,595493,5959,1636,651533,0,0,0,0,0,0,0,1987,634493,14331,722,651533
2015-01-09,-120686000,12225000,106691000,0,0,0,0,8133750,-695023000,681356250,7303000,0,7966050,12225000,188191000,0,0,0,0,8150000,5447011750,964803450,8938000,6637285250,128652050,0,81500000,0,0,0,0,16250,6142034750,283447200,1635000,6637285250,-7394,750,6500,0,0,0,0,499,-42389,41589,445,0,490,750,11500,0,0,0,0,500,333246,58980,545,406011,7884,0,5000,0,0,0,0,1,375635,17391,100,406011
2015-01-12,-48598200,0,-1525500,-1389150,0,0,-68695300,531111000,-578401650,173648800,-6150000,0,51300000,0,0,0,0,0,79747850,565155450,10189727350,489144550,0,11375075200,99898200,0,1525500,1389150,0,0,148443150,34044450,10768129000,315495750,6150000,11375075200,-3050,0,-90,-81,0,0,-4024,31247,-33748,10114,-368,0,3000,0,0,0,0,0,4685,33247,604596,28874,0,674402,6050,0,90,81,0,0,8709,2000,638344,18760,368,674402
2015-01-13,-13927350,559628650,131664750,0,0,0,-145062300,-33113950,-322509450,-176680350,0,0,70763700,559628650,259714300,0,0,0,0,35083450,4875169850,47332350,0,5847692300,84691050,0,128049550,0,0,0,145062300,68197400,5197679300,224012700,0,5847692300,-789,32979,7650,0,0,0,-8562,-1935,-18968,-10375,0,0,4211,32979,15222,0,0,0,0,2059,287550,2790,0,344811,5000,0,7572,0,0,0,8562,3994,306518,13165,0,344811
2015-01-14,-83706100,0,-1389900,0,91434000,0,-65494800,7944000,-68033100,118419900,826000,0,1697500,0,0,0,91434000,0,0,7944000,5039507000,268863600,826000,5410272100,85403600,0,1389900,0,0,0,65494800,0,5107540100,150443700,0,5410272100,-4948,0,-82,0,5500,0,-3864,480,-4321,7185,50,0,100,0,0,0,5500,0,0,480,301485,16147,50,323762,5048,0,82,0,0,0,3864,0,305806,8962,0,323762
2015-01-15,25945600,0,-107373300,0,50397500,118312500,0,38055000,170289450,-232472100,-63154650,0,168337100,0,0,0,50397500,118312500,0,38055000,3797434400,39190800,1020000,4212747300,142391500,0,107373300,0,0,0,0,0,3627144950,271662900,64174650,4212747300,1704,0,-6402,0,3000,7000,0,2260,9897,-13719,-3740,0,10030,0,0,0,3000,7000,0,2260,224976,2336,60,249662,8326,0,6402,0,0,0,0,0,215079,16055,3800,249662
