date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2021-10-29,-2594296950,-17741200,-4023774950,-7827528200,-26669200,-513670300,-43391000,-4366598750,22499719150,-3099770600,13722000,0,89654900,0,0,19151300,0,0,0,52902100,130579158950,1991004000,286754550,133018625800,2683951850,17741200,4023774950,7846679500,26669200,513670300,43391000,4419500850,108079439800,5090774600,273032550,133018625800,-104171,-684,-158312,-317499,-1112,-20871,-1682,-171248,922402,-147224,401,0,4044,0,0,763,0,0,0,2377,5460835,77876,11759,5557654,108215,684,158312,318262,1112,20871,1682,173625,4538433,225100,11358,5557654
2021-11-01,-53853600,0,-42756200,-292310100,0,-2755350,0,-2724696550,1191345050,1921191050,3835700,0,0,0,0,0,0,0,0,26090400,12628380150,2829110750,6934850,15490516150,53853600,0,42756200,292310100,0,2755350,0,2750786950,11437035100,907919700,3099150,15490516150,-2983,0,-2356,-16647,0,-157,0,-149329,65760,105495,217,0,0,0,0,0,0,0,0,1486,700398,155176,389,857449,2983,0,2356,16647,0,157,0,150815,634638,49681,172,857449
2021-11-02,-3657500,-3594700,0,-2042100,0,-4095000,0,5594050,70263100,-59040000,-3427850,0,0,0,0,0,0,0,0,8863800,9337209200,59872300,2485400,9408430700,3657500,3594700,0,2042100,0,4095000,0,3269750,9266946100,118912300,5913250,9408430700,-209,-206,0,-116,0,-234,0,325,3859,-3231,-188,0,0,0,0,0,0,0,0,508,533764,3443,142,537857,209,206,0,116,0,234,0,183,529905,6674,330,537857
2021-11-03,-102300,0,0,-3788700,0,0,0,632000,10854150,-8710450,1115300,0,0,0,0,0,0,0,0,632000,7791700200,216652850,2745000,8011730050,102300,0,0,3788700,0,0,0,0,7780846050,225363300,1629700,8011730050,-6,0,0,-219,0,0,0,37,626,-503,65,0,0,0,0,0,0,0,0,37,452702,12544,161,465444,6,0,0,219,0,0,0,0,452076,13047,96,465444
2021-11-04,0,0,-62040850,0,-532891500,0,0,-3971350,874482150,-272503800,-3074650,0,0,0,16195700,0,0,0,0,0,8838208100,225185900,0,9079589700,0,0,78236550,0,532891500,0,0,3971350,7963725950,497689700,3074650,9079589700,0,0,-4003,0,-33333,0,0,-243,54546,-16781,-186,0,0,0,957,0,0,0,0,0,544290,14050,0,559297,0,0,4960,0,33333,0,0,243,489744,30831,186,559297
2021-11-05,0,0,514950,-8190350,-446471600,0,0,11416900,856932200,-417328800,3126700,0,0,0,24236500,0,0,0,0,11597500,6949336650,154501600,5913250,7145585500,0,0,23721550,8190350,446471600,0,0,180600,6092404450,571830400,2786550,7145585500,0,0,0,-558,-30000,0,0,773,57641,-28063,207,0,0,0,1568,0,0,0,0,785,463748,10490,396,476987,0,0,1568,558,30000,0,0,12,406107,38553,189,476987
2021-11-08,-4872000,0,0,0,0,0,0,-4095950,-139860300,147228150,1600100,0,0,0,0,0,0,0,0,2223000,3633181950,263411600,1827150,3900643700,4872000,0,0,0,0,0,0,6318950,3773042250,116183450,227050,3900643700,-336,0,0,0,0,0,0,-289,-9806,10318,113,0,0,0,0,0,0,0,0,156,256038,18455,129,274778,336,0,0,0,0,0,0,445,265844,8137,16,274778
2021-11-09,0,0,0,0,-424213300,0,0,-7075000,514335550,-84641000,1593750,0,0,0,0,0,0,0,0,0,3271559550,197194050,2003000,3470756600,0,0,0,0,424213300,0,0,7075000,2757224000,281835050,409250,3470756600,0,0,0,0,-30000,0,0,-500,36273,-5884,111,0,0,0,0,0,0,0,0,0,228987,13640,140,242767,0,0,0,0,30000,0,0,500,192714,19524,29,242767
2021-11-10,0,0,0,-6099000,-286772800,0,0,-2238600,270154500,25979200,-1023300,0,0,0,0,0,0,0,0,0,2602417500,132282450,759050,2735459000,0,0,0,6099000,286772800,0,0,2238600,2332263000,106303250,1782350,2735459000,0,0,0,-428,-20000,0,0,-156,18828,1826,-70,0,0,0,0,0,0,0,0,0,181081,9221,53,190355,0,0,0,428,20000,0,0,156,162253,7395,123,190355
2021-11-11,-778250,0,150300,-2813500,-200794950,0,0,14755850,1246672400,-1059607350,2415500,0,0,0,6280700,0,0,0,0,14755850,4622914800,204871650,2977450,4851800450,778250,0,6130400,2813500,200794950,0,0,0,3376242400,1264479000,561950,4851800450,-55,0,0,-199,-15000,0,0,1109,93558,-79594,181,0,0,0,442,0,0,0,0,1109,343202,15187,222,360162,55,0,442,199,15000,0,0,0,249644,94781,41,360162
2021-11-12,0,0,0,0,-237925850,0,0,0,217153700,20455400,316750,0,0,0,0,0,0,0,0,0,1753769650,66686750,396000,1820852400,0,0,0,0,237925850,0,0,0,1536615950,46231350,79250,1820852400,0,0,0,0,-18000,0,0,0,16452,1524,24,0,0,0,0,0,0,0,0,0,132327,5019,30,137376,0,0,0,0,18000,0,0,0,115875,3495,6,137376
2021-11-15,0,0,0,0,-231922650,0,0,3741400,266039150,-38313800,455900,0,0,0,0,0,0,0,0,8942700,2523110200,49133900,567100,2581753900,0,0,0,0,231922650,0,0,5201300,2257071050,87447700,111200,2581753900,0,0,0,0,-17000,0,0,273,19470,-2776,33,0,0,0,0,0,0,0,0,654,183173,3591,41,187459,0,0,0,0,17000,0,0,381,163703,6367,8,187459
2021-11-16,0,0,84542900,0,-298011300,0,0,13115400,-109667500,285822400,24198100,0,0,0,93972600,0,0,0,0,14429400,10667258800,620254200,33133250,11429048250,0,0,9429700,0,298011300,0,0,1314000,10776926300,334431800,8935150,11429048250,0,0,5668,0,-20000,0,0,884,-7182,18984,1646,0,0,0,6287,0,0,0,0,974,719765,41541,2251,770818,0,0,619,0,20000,0,0,90,726947,22557,605,770818
2021-11-17,0,0,-45697000,-9148500,-284486900,0,0,-3699800,406938550,-90477050,26570700,0,0,0,0,0,0,0,0,8985600,3239859950,73975550,30343250,3353164350,0,0,45697000,9148500,284486900,0,0,12685400,2832921400,164452600,3772550,3353164350,0,0,-3220,-642,-20000,0,0,-260,28567,-6266,1821,0,0,0,0,0,0,0,0,624,227529,5211,2083,235447,0,0,3220,642,20000,0,0,884,198962,11477,262,235447
2021-11-18,0,0,-31880800,0,-177441050,0,0,54400000,251731450,-96692450,-117150,0,0,0,0,0,0,0,0,54400000,1924507050,33725800,264200,2012897050,0,0,31880800,0,177441050,0,0,0,1672775600,130418250,381350,2012897050,0,0,-2325,0,-13000,0,0,4000,18323,-6989,-9,0,0,0,0,0,0,0,0,4000,140179,2464,19,146662,0,0,2325,0,13000,0,0,0,121856,9453,28,146662
2021-11-19,0,0,-1666700,0,-95097500,0,0,-643900000,23727250,713516650,3420300,0,0,0,0,0,0,0,0,0,2187976000,1397023200,3433650,3588432850,0,0,1666700,0,95097500,0,0,643900000,2164248750,683506550,13350,3588432850,0,0,-123,0,-7000,0,0,-50000,-804,57672,255,0,0,0,0,0,0,0,0,0,161327,108124,256,269707,0,0,123,0,7000,0,0,50000,162131,50452,1,269707
2021-11-22,0,0,88150750,0,-68952300,0,0,0,709010350,-725669650,-2539150,0,0,0,88808350,0,0,0,0,0,5152093200,290455700,548000,5531905250,0,0,657600,0,68952300,0,0,0,4443082850,1016125350,3087150,5531905250,0,0,6235,0,-5000,0,0,0,50025,-51079,-181,0,0,0,6283,0,0,0,0,0,368493,21042,40,395858,0,0,48,0,5000,0,0,0,318468,72121,221,395858
2021-11-23,0,0,-32760900,0,-68045600,0,0,40400000,66806500,-5462300,-937700,0,0,0,0,0,0,0,0,40400000,2437714500,110634050,5573150,2594321700,0,0,32760900,0,68045600,0,0,0,2370908000,116096350,6510850,2594321700,0,0,-2430,0,-5000,0,0,3000,4783,-295,-58,0,0,0,0,0,0,0,0,3000,179371,8207,419,190997,0,0,2430,0,5000,0,0,0,174588,8502,477,190997
2021-11-24,-2990400,0,-40863250,0,-66839550,0,0,0,205678400,-95503950,518750,0,0,0,0,0,0,0,0,0,1812161250,26974350,532300,1839667900,2990400,0,40863250,0,66839550,0,0,0,1606482850,122478300,13550,1839667900,-224,0,-3042,0,-5000,0,0,0,15301,-7074,39,0,0,0,0,0,0,0,0,0,135031,2016,40,137087,224,0,3042,0,5000,0,0,0,119730,9090,1,137087
2021-11-25,-8303150,0,-25324550,0,0,0,0,4445550,42730000,-19657800,6109950,0,0,0,0,0,0,0,0,4445550,1611930600,34717300,6109950,1657203400,8303150,0,25324550,0,0,0,0,0,1569200600,54375100,0,1657203400,-633,0,-1927,0,0,0,0,333,3260,-1494,461,0,0,0,0,0,0,0,0,333,121963,2617,461,125374,633,0,1927,0,0,0,0,0,118703,4111,0,125374
2021-11-26,3830000,0,0,0,-64525750,0,0,0,133516850,-61737200,-11083900,0,3830000,0,0,0,0,0,0,0,2350315250,72987200,1214850,2428347300,0,0,0,0,64525750,0,0,0,2216798400,134724400,12298750,2428347300,300,0,0,0,-5000,0,0,0,10213,-4634,-879,0,300,0,0,0,0,0,0,0,180304,5516,96,186216,0,0,0,0,5000,0,0,0,170091,10150,975,186216
2021-11-29,-47597000,0,-14433500,-21113850,-56794550,0,0,-5816100,149984350,30449150,-34678500,0,1196950,0,8757700,0,0,0,0,2214300,1588890700,92076900,1932550,1695069100,48793950,0,23191200,21113850,56794550,0,0,8030400,1438906350,61627750,36611050,1695069100,-3908,0,-1189,-1746,-4686,0,0,-489,12355,2496,-2833,0,101,0,714,0,0,0,0,183,131302,7562,160,140022,4009,0,1903,1746,4686,0,0,672,118947,5066,2993,140022
2021-11-30,0,42021150,208288450,-396200,-65842850,0,0,97926700,-790146500,321447950,186701300,0,0,42021150,264029550,0,0,0,0,102022600,1975675250,383105400,188516000,2955369950,0,0,55741100,396200,65842850,0,0,4095900,2765821750,61657450,1814700,2955369950,0,3350,16708,-32,-5314,0,0,7968,-63511,25972,14859,0,0,3350,21206,0,0,0,0,8301,159007,30879,15001,237744,0,0,4498,32,5314,0,0,333,222518,4907,142,237744
2021-12-01,264245350,0,38461350,-18545500,-64705500,0,38106150,44580450,-626324150,244416700,79765150,0,269625350,0,187149550,0,0,0,38106150,50572700,2268426000,440293050,80706500,3334879300,5380000,0,148688200,18545500,64705500,0,0,5992250,2894750150,195876350,941350,3334879300,19900,0,2957,-1494,-5000,0,2870,3543,-47922,18699,6447,0,20300,0,14535,0,0,0,2870,4026,174417,33775,6520,256443,400,0,11578,1494,5000,0,0,483,222339,15076,73,256443
2021-12-02,0,0,133792750,0,0,0,-39600200,12853350,-19191150,-87416000,-438750,0,0,0,136339550,0,0,0,1229500,12853350,3069531250,292814600,4423450,3517191700,0,0,2546800,0,0,0,40829700,0,3088722400,380230600,4862200,3517191700,0,0,9698,0,0,0,-2870,920,-1845,-5873,-30,0,0,0,9885,0,0,0,90,920,221679,21472,320,254366,0,0,187,0,0,0,2960,0,223524,27345,350,254366
2021-12-03,0,0,138910550,-8853000,0,0,0,42679150,-267578450,103730250,-8888500,0,0,0,146670400,0,0,0,0,53693500,2440657550,388790100,298500,3030110050,0,0,7759850,8853000,0,0,0,11014350,2708236000,285059850,9187000,3030110050,0,0,9783,-635,0,0,0,2981,-19020,7530,-639,0,0,0,10343,0,0,0,0,3772,171872,27602,21,213610,0,0,560,635,0,0,0,791,190892,20072,660,213610
2021-12-06,0,0,-18032300,0,0,0,0,0,184006050,-167961750,1988000,0,0,0,0,0,0,0,0,0,1317282150,26051000,1988000,1345321150,0,0,18032300,0,0,0,0,0,1133276100,194012750,0,1345321150,0,0,-1293,0,0,0,0,0,13145,-11994,142,0,0,0,0,0,0,0,0,0,94348,1873,142,96363,0,0,1293,0,0,0,0,0,81203,13867,0,96363
2021-12-07,0,0,-12464350,100394250,0,0,0,0,-6124750,-82020100,214950,0,0,0,0,100394250,0,0,0,0,959341850,33509900,2224250,1095470250,0,0,12464350,0,0,0,0,0,965466600,115530000,2009300,1095470250,0,0,-886,7100,0,0,0,0,-399,-5831,16,0,0,0,0,7100,0,0,0,0,67997,2349,158,77604,0,0,886,0,0,0,0,0,68396,8180,142,77604
2021-12-08,0,0,-27540450,301876500,0,0,0,455102800,-420377300,-309281150,219600,0,0,0,0,301876500,0,0,0,558043000,9015854400,888374400,18048300,10782196600,0,0,27540450,0,0,0,0,102940200,9436231700,1197655550,17828700,10782196600,0,0,-1807,19800,0,0,0,30147,-28361,-19804,25,0,0,0,0,19800,0,0,0,36823,586753,58533,1189,703098,0,0,1807,0,0,0,0,6676,615114,78337,1164,703098
2021-12-09,172035500,-5613350,134852500,365527300,0,0,239529550,-461883400,56804800,-278104100,-223148800,0,197318250,0,288124350,365527300,0,0,239529550,19508250,19609056850,1917953650,33013450,22670031650,25282750,5613350,153271850,0,0,0,0,481391650,19552252050,2196057750,256162250,22670031650,9847,-315,9006,22533,0,0,13563,-28844,2904,-15560,-13134,0,11263,0,17561,22533,0,0,13563,1111,1140135,112793,1912,1320871,1416,315,8555,0,0,0,0,29955,1137231,128353,15046,1320871
2021-12-10,136889800,182083400,1063137000,-43095650,0,0,0,-118755000,-1382684450,149691550,12733350,0,154889800,183175400,1219958200,226132800,0,0,0,32334000,16521896250,1613475600,49124200,20000986250,18000000,1092000,156821200,269228450,0,0,0,151089000,17904580700,1463784050,36390850,20000986250,7364,9717,57288,-2591,0,0,0,-6731,-74087,8380,660,0,8364,9777,65809,12266,0,0,0,1712,892058,87760,2613,1080359,1000,60,8521,14857,0,0,0,8443,966145,79380,1953,1080359
2021-12-13,-4020800,-12407400,-299267750,8025550000,-512454650,0,0,-5263120700,-1667050100,-257505450,-9723150,0,0,0,0,8079750000,0,0,0,152887700,7698437700,495629750,4841000,16431546150,4020800,12407400,299267750,54200000,512454650,0,0,5416008400,9365487800,753135200,14564150,16431546150,-224,-668,-16541,447000,-28312,0,0,-293098,-94067,-13555,-535,0,0,0,0,450000,0,0,0,8500,422857,27478,268,909103,224,668,16541,3000,28312,0,0,301598,516924,41033,803,909103
2021-12-14,63622750,0,-721324900,-680732950,-480403900,0,0,205273700,1323332400,287726150,2506750,0,213518000,0,56825050,478648000,0,0,0,210036000,13294512000,1261051100,14938400,15529528550,149895250,0,778149950,1159380950,480403900,0,0,4762300,11971179600,973324950,12431650,15529528550,3860,0,-38390,-35371,-26688,0,0,11441,69444,15566,138,0,11588,0,3100,26005,0,0,0,11695,712094,68022,808,833312,7728,0,41490,61376,26688,0,0,254,642650,52456,670,833312
2021-12-15,-24209300,1063250250,1679485300,-847475500,-1840183800,0,172044400,-345014222,451567172,-150287800,-159176500,0,117558200,1066345900,2086301600,1326480650,0,0,172044400,424241850,19310746000,2284006450,20530800,26808255850,141767500,3095650,406816300,2173956150,1840183800,0,0,769256072,18859178828,2434294250,179707300,26808255850,-1069,52740,82830,-38803,-93333,0,8508,-20113,24533,-7537,-7756,0,5964,52899,103340,71026,0,0,8508,21557,970566,115533,1028,1350421,7033,159,20510,109829,93333,0,0,41670,946033,123070,8784,1350421
2021-12-16,399933900,0,86231250,102240000,-1641549000,0,0,130906950,-407052700,1314845100,14444500,0,407652900,0,292971850,2532790500,0,0,0,383664850,19030253200,3340728150,26246000,26014307450,7719000,0,206740600,2430550500,1641549000,0,0,252757900,19437305900,2025883050,11801500,26014307450,19407,0,4235,4870,-80000,0,0,6036,-18785,63548,689,0,19779,0,14166,122949,0,0,0,18563,921000,161802,1268,1259527,372,0,9931,118079,80000,0,0,12527,939785,98254,579,1259527
