date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2019-11-21,-1286770690,-13006690,-1085592580,-4441047620,-3276650,-202082480,-88857380,-398824930,8732501500,-1243145000,30102520,0,612405440,0,504550460,1557527720,0,0,90997910,240303550,142910917240,252541570,228252340,146397496230,1899176130,13006690,1590143040,5998575340,3276650,202082480,179855290,639128480,134178415740,1495686570,198149820,146397496230,-144850,-1492,-117285,-514538,-379,-23269,-7678,-44546,988853,-138139,3323,0,70649,0,58036,177268,0,0,10000,28026,15530195,30076,24018,15928268,215499,1492,175321,691806,379,23269,17678,72572,14541342,168215,20695,15928268
2019-11-22,-293981630,0,380316520,-819978470,0,-67749140,-84219550,-15309000,1136579350,-208500680,-27157400,0,144250980,0,582945810,34019330,0,0,97530450,20499110,100776304790,425039750,181830870,102262421090,438232610,0,202629290,853997800,0,67749140,181750000,35808110,99639725440,633540430,208988270,102262421090,-30805,0,38902,-84596,0,-6615,-7600,-1645,117035,-21228,-3448,0,14504,0,59625,3636,0,0,10000,2060,10320552,43910,17944,10472231,45309,0,20723,88232,0,6615,17600,3705,10203517,65138,21392,10472231
2019-11-25,-2094970,0,-20397040,-150339500,0,0,0,-10198520,223592820,-38083950,-2478840,0,8730,0,13450900,53806250,0,0,0,0,17514256390,213385190,8458400,17803365860,2103700,0,33847940,204145750,0,0,0,10198520,17290663570,251469140,10937240,17803365860,-217,0,-2312,-17201,0,0,0,-1143,25270,-4142,-255,0,1,0,1538,6047,0,0,0,0,1909773,23112,904,1941375,218,0,3850,23248,0,0,0,1143,1884503,27254,1159,1941375
2019-11-26,123308040,0,-132004680,-546429360,0,-712636100,-366796060,35791940,1564785960,-11570650,45550910,0,143202540,0,57507860,0,0,0,146540590,268969330,92337787210,323144450,267198420,93544350400,19894500,0,189512540,546429360,0,712636100,513336650,233177390,90773001250,334715100,221647510,93544350400,12611,0,-13655,-55945,0,-69080,-34686,4237,153199,-1044,4363,0,14600,0,5932,0,0,0,15000,27559,9454320,33470,26833,9577714,1989,0,19587,55945,0,69080,49686,23322,9301121,34514,22470,9577714
2019-11-27,5628000,0,11984530,-8280190,0,0,0,-47030000,35066420,16593920,-13962680,0,5628000,0,17996340,0,0,0,0,0,16166035860,175662130,40062950,16405385280,0,0,6011810,8280190,0,0,0,47030000,16130969440,159068210,54025630,16405385280,600,0,1329,-852,0,0,0,-5000,3674,1721,-1472,0,600,0,1954,0,0,0,0,0,1692915,18613,4148,1718230,0,0,625,852,0,0,0,5000,1689241,16892,5620,1718230
2019-11-28,-129469700,0,-9916640,0,0,0,87793920,1997600,54325510,25247960,-29978650,0,9610,0,0,0,0,0,87793920,1997600,8801481060,177144740,11799130,9080226060,129479310,0,9916640,0,0,0,0,0,8747155550,151896780,41777780,9080226060,-14601,0,-1090,0,0,0,10000,227,5947,2819,-3302,0,1,0,0,0,0,0,10000,227,975605,19720,1282,1006835,14602,0,1090,0,0,0,0,0,969658,16901,4584,1006835
2019-11-29,0,0,-856250,181172620,0,0,0,37594890,-221850020,-4378080,8316840,0,0,0,0,181172620,0,0,0,38015390,6553600860,108207350,10355420,6891351640,0,0,856250,0,0,0,0,420500,6775450880,112585430,2038580,6891351640,0,0,-101,21402,0,0,0,4450,-26223,-452,924,0,0,0,0,21402,0,0,0,4500,763813,12674,1156,803545,0,0,101,0,0,0,0,50,790036,13126,232,803545
2019-12-02,0,0,281754880,90633230,0,0,0,35533920,-422718930,22826290,-8029390,0,0,0,281754880,90649030,0,0,0,39594600,2889091340,83687380,8160,3384785390,0,0,0,15800,0,0,0,4060680,3311810270,60861090,8037550,3384785390,0,0,35753,11458,0,0,0,4500,-53844,3138,-1005,0,0,0,35753,11460,0,0,0,5000,365017,10601,1,427832,0,0,0,2,0,0,0,500,418861,7463,1006,427832
2019-12-03,7600000,0,17555350,44338390,0,0,0,-23946700,-2471170,-42797070,-278800,0,7600000,0,18033110,47269190,0,0,0,2364000,2400020320,20389400,3974100,2499650120,0,0,477760,2930800,0,0,0,26310700,2402491490,63186470,4252900,2499650120,1000,0,2229,5673,0,0,0,-3002,-438,-5432,-30,0,1000,0,2290,6047,0,0,0,300,305820,2575,500,318532,0,0,61,374,0,0,0,3302,306258,8007,530,318532
2019-12-04,45990000,0,0,2130700,0,0,0,7616000,-82978900,27206020,36180,0,45990000,0,0,2130700,0,0,0,7616000,6939689490,99771290,2547780,7097745260,0,0,0,0,0,0,0,0,7022668390,72565270,2511600,7097745260,6000,0,0,268,0,0,0,1000,-10729,3460,1,0,6000,0,0,268,0,0,0,1000,873025,12704,313,893310,0,0,0,0,0,0,0,0,883754,9244,312,893310
