date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2015-01-02,-1442414850,131284600,525977900,151395400,-66210000,0,603506350,22044300,329018700,-252413150,-2189250,0,1371175800,485220600,596762300,207175950,0,0,603506350,24000000,7394035800,2652585550,9109000,13343571350,2813590650,353936000,70784400,55780550,66210000,0,0,1955700,7065017100,2904998700,11298250,13343571350,-29758,2631,10950,3086,-1360,0,12533,459,6766,-5264,-43,0,28631,9982,12425,4247,0,0,12533,500,154007,55145,190,277660,58389,7351,1475,1161,1360,0,0,41,147241,60409,233,277660
2015-01-05,-1319147200,62572850,1631646050,40301350,-130551450,0,-977941600,-243309750,-239685750,1177278950,-1163450,0,3562740250,630601100,1960939150,100008100,3838550,0,905868400,0,9636268150,6159305950,10163550,22969733200,4881887450,568028250,329293100,59706750,134390000,0,1883810000,243309750,9875953900,4982027000,11327000,22969733200,-27757,1453,34486,857,-2718,0,-20768,-5026,-4954,24451,-24,0,74894,13311,41372,2111,82,0,18900,0,202809,129181,216,482876,102651,11858,6886,1254,2800,0,39668,5026,207763,104730,240,482876
2015-01-06,-1631217400,-373180600,-1603460150,-3398503000,-5389400,0,-443326550,162288400,7781406650,-640543500,151925550,0,3107858600,144044750,295658700,6019200,8860600,0,1832616000,205079500,19748384550,4326847500,154689050,29830058450,4739076000,517225350,1899118850,3404522200,14250000,0,2275942550,42791100,11966977900,4967391000,2763500,29830058450,-35758,-8019,-34787,-74930,-106,0,-9262,3578,168691,-12711,3304,0,67642,3173,6500,132,194,0,40232,4520,428630,94588,3364,648975,103400,11192,41287,75062,300,0,49494,942,259939,107299,60,648975
2015-01-07,-1760544250,-545670700,-687825350,43658950,0,0,-1455574350,32061150,2705024350,1785558800,-116688600,0,1249974300,63003800,816742850,69478200,0,0,1333103450,86808450,11512865250,4432606200,14495500,19579078000,3010518550,608674500,1504568200,25819250,0,0,2788677800,54747300,8807840900,2647047400,131184100,19579078000,-38725,-11921,-15334,950,0,0,-32104,701,59804,39153,-2524,0,27470,1388,17784,1510,0,0,29253,1901,252439,97313,320,429378,66195,13309,33118,560,0,0,61357,1200,192635,58160,2844,429378
2015-01-08,-1077933400,-6010400,-15351200,197394450,-213840000,0,1695248700,-47508000,967554500,-1449422150,-50132500,0,482837500,2354700,71940550,204139650,0,0,1698206650,46225000,9029595950,2213506660,20632500,13769439160,1560770900,8365100,87291750,6745200,213840000,0,2957950,93733000,8062041450,3662928810,70765000,13769439160,-23395,-130,-341,4276,-4600,0,36728,-1042,21080,-31498,-1078,0,10444,51,1553,4422,0,0,36792,1000,195741,47949,450,298402,33839,181,1894,146,4600,0,64,2042,174661,79447,1528,298402
2015-01-09,2821029300,4027079700,49969150,-3802650,332324600,0,2966544300,-134215950,-5953183000,-4102560700,-3184750,0,3806666800,4035696900,120790900,0,365839600,0,2967171250,25204200,10706356050,3522910650,125900000,25676536350,985637500,8617200,70821750,3802650,33515000,0,626950,159420150,16659539050,7625471350,129084750,25676536350,58502,84306,1041,-78,6844,0,61025,-2771,-123631,-85189,-49,0,78920,84486,2510,0,7544,0,61038,518,223463,73148,2700,534327,20418,180,1469,78,700,0,13,3289,347094,158337,2749,534327
2015-01-12,472512050,60744900,858600650,128343350,86219800,0,2812838850,-97213800,601656100,-4864229000,-59472900,0,1662732650,68730600,941071950,131606000,102119850,0,2861110200,25150000,11645904450,2796523100,0,20234948800,1190220600,7985700,82471300,3262650,15900050,0,48271350,122363800,11044248350,7660752100,59472900,20234948800,9581,1224,17331,2606,1734,0,56735,-1976,12660,-98686,-1209,0,33657,1387,18981,2672,2057,0,57735,500,235490,56305,0,408784,24076,163,1650,66,323,0,1000,2476,222830,154991,1209,408784
2015-01-13,333229450,209560200,127901950,81030900,97556500,0,1043143850,-17446600,3459501200,-5343335700,8858250,0,1505368100,232781600,173286900,88559950,97556500,0,2007558500,78028400,11189094500,3813899750,17183250,19203317450,1172138650,23221400,45384950,7529050,0,0,964414650,95475000,7729593300,9157235450,8325000,19203317450,6811,4286,2633,1685,2000,0,21491,-397,72426,-111118,183,0,31011,4763,3570,1839,2000,0,41237,1603,231751,78603,354,396731,24200,477,937,154,0,0,19746,2000,159325,189721,171,396731
2015-01-14,-827628250,4049264100,150813950,-106675400,-21603950,0,1058288400,249318250,-1262094300,-3229336750,-60346050,0,873548350,4051611750,220470850,34195600,0,0,1058538750,279210750,13590463700,5091671250,32192800,25231903800,1701176600,2347650,69656900,140871000,21603950,0,250350,29892500,14852558000,8321008000,92538850,25231903800,-16569,80870,3016,-2125,-431,0,21144,4980,-25201,-64490,-1194,0,17425,80917,4408,683,0,0,21149,5580,271697,101826,643,504328,33994,47,1392,2808,431,0,5,600,296898,166316,1837,504328
2015-01-15,5046587150,908760000,81130000,-204823400,-55433700,0,-16488650,-52275500,-2040724750,-3542570650,-124160500,0,6335885800,962058700,128214200,180045100,0,0,174349300,75616100,12596954550,3376545550,601900,23830271200,1289298650,53298700,47084200,384868500,55433700,0,190837950,127891600,14637679300,6919116200,124762400,23830271200,99501,18049,1597,-4074,-1102,0,-352,-1044,-39487,-70658,-2430,0,125074,19095,2535,3549,0,0,3466,1513,249605,67032,12,471881,25573,1046,938,7623,1102,0,3818,2557,289092,137690,2442,471881
