date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2016-06-23,-14694935400,2271402550,-1556302350,-19720854350,-61338500,-364770600,7288606950,-6318404200,55057585700,-22129736950,228747150,0,2398533650,5440811350,3664075450,2931027000,106539300,112205400,7481393300,1464052300,289399389400,1716134400,466536450,315180698000,17093469050,3169408800,5220377800,22651881350,167877800,476976000,192786350,7782456500,234341803700,23845871350,237789300,315180698000,-284917,55859,-30585,-354523,-1134,-6736,143896,-125087,1029976,-431578,4829,0,48501,114432,72900,60325,2000,2225,147569,28343,5593151,32103,9437,6110986,333418,58573,103485,414848,3134,8961,3673,153430,4563175,463681,4608,6110986
2016-06-24,-353970400,566908750,-1274194100,1423542500,-43848950,29442150,1605944250,280746800,-1008273450,-1221955900,-4341650,0,1662035100,737586450,1691016250,1707640100,0,126289400,1741881100,527080700,80850293300,734427600,49199950,89827449950,2016005500,170677700,2965210350,284097600,43848950,96847250,135936850,246333900,81858566750,1956383500,53541600,89827449950,-7478,12938,-27208,33082,-1000,775,36363,6434,-27528,-26300,-78,0,37688,16813,37988,39335,0,3000,39437,11772,1791639,16681,1104,1995457,45166,3875,65196,6253,1000,2225,3074,5338,1819167,42981,1182,1995457
2016-06-27,-253482950,220987200,810285050,-1147163750,-90590750,-131039150,918700,193896650,655932800,-224291400,-35452400,0,523955000,258421250,1119982350,166252700,0,0,333057750,291788850,34946090200,452873650,35968250,38128390000,777437950,37434050,309697300,1313416450,90590750,131039150,332139050,97892200,34290157400,677165050,71420650,38128390000,-5481,4940,18295,-25407,-2100,-3000,236,4460,13905,-4997,-851,0,11691,5747,24943,3689,0,0,7404,6569,770179,10058,793,841073,17172,807,6648,29096,2100,3000,7168,2109,756274,15055,1644,841073
2016-06-28,96352950,-4713000,90353750,-141672950,0,0,0,317682750,-593585350,234662850,919000,0,224680150,0,450547400,54502150,0,0,0,413556700,15367045200,320070650,5279000,16835681250,128327200,4713000,360193650,196175100,0,0,0,95873950,15960630550,85407800,4360000,16835681250,2050,-107,2177,-3160,0,0,0,7246,-13475,5249,20,0,5050,0,10186,1240,0,0,0,9414,351166,7204,120,384380,3000,107,8009,4400,0,0,0,2168,364641,1955,100,384380
2016-06-29,-14348800,-76620050,251344100,211559950,0,0,-511520350,-133581750,356560350,-88972100,5578650,0,256924700,0,406298600,293017800,0,0,68491700,64331000,13051812000,121268700,25711850,14287856350,271273500,76620050,154954500,81457850,0,0,580012050,197912750,12695251650,210240800,20133200,14287856350,-300,-1702,5476,4745,0,0,-11438,-2848,7940,-1997,124,0,5700,0,8938,6564,0,0,1524,1450,289540,2708,573,316997,6000,1702,3462,1819,0,0,12962,4298,281600,4705,449,316997
2016-06-30,260261600,0,262048300,53512200,0,0,170139850,174674700,-1247312450,320827700,5848100,0,361536000,0,286805450,53512200,0,0,170139850,181788600,6022598950,344119400,5848100,7426348550,101274400,0,24757150,0,0,0,0,7113900,7269911400,23291700,0,7426348550,5950,0,6032,1233,0,0,3911,4008,-28624,7355,135,0,8300,0,6601,1233,0,0,3911,4171,138334,7890,135,170575,2350,0,569,0,0,0,0,163,166958,535,0,170575
2016-07-01,883374450,-4998100,1296268600,-305191450,0,0,275421500,93209900,-2023430400,-204997250,-9657250,0,1149709200,0,1296268600,54915150,0,0,275421500,93209900,20693957700,168035650,12448700,23743966400,266334750,4998100,0,360106600,0,0,0,0,22717388100,373032900,22105950,23743966400,19277,-109,28189,-6560,0,0,5982,2034,-44213,-4399,-201,0,25242,0,28189,1198,0,0,5982,2034,451955,3687,277,518564,5965,109,0,7758,0,0,0,0,496168,8086,478,518564
2016-07-04,138072700,-6342450,84458000,-128495250,0,0,0,-105818700,470653600,-469312200,16784300,0,142647700,0,84458000,0,0,0,0,4635000,8477727100,117792300,29556500,8856816600,4575000,6342450,0,128495250,0,0,0,110453700,8007073500,587104500,12772200,8856816600,3000,-138,1825,-2787,0,0,0,-2266,10176,-10174,364,0,3100,0,1825,0,0,0,0,100,183201,2555,640,191421,100,138,0,2787,0,0,0,2366,173025,12729,276,191421
2016-07-05,53804300,-4952450,6345900,51866500,0,0,0,86277500,-469657700,262100350,14215600,0,53804300,0,6345900,51866500,0,0,0,131427500,6171223700,298453200,31188100,6744309200,0,4952450,0,0,0,0,0,45150000,6640881400,36352850,16972500,6744309200,1178,-109,140,1134,0,0,0,1900,-10344,5785,316,0,1178,0,140,1134,0,0,0,2900,136420,6595,691,149058,0,109,0,0,0,0,0,1000,146764,810,375,149058
2016-07-06,161354850,-3933700,-582940700,-36129550,56356000,0,-29710750,-64964100,525434350,-48985700,23519300,0,238548650,0,19566550,23241150,56356000,0,91885050,24319500,7036751000,40287150,40949300,7571904350,77193800,3933700,602507250,59370700,0,0,121595800,89283600,6511316650,89272850,17430000,7571904350,3527,-86,-12706,-794,1229,0,-652,-1391,11428,-1068,513,0,5211,0,425,505,1229,0,2005,530,153158,883,891,164837,1684,86,13131,1299,0,0,2657,1921,141730,1951,378,164837
