date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2015-01-02,59712000,34112500,29111000,0,0,0,135891000,-23377000,-270067500,40018000,-5400000,0,101525000,34112500,30838000,0,0,0,135891000,25851000,512330500,152979000,0,993527000,41813000,0,1727000,0,0,0,0,49228000,782398000,112961000,5400000,993527000,553,316,269,0,0,0,1256,-222,-2503,381,-50,0,941,316,285,0,0,0,1256,240,4767,1431,0,9236,388,0,16,0,0,0,0,462,7270,1050,50,9236
2015-01-05,602707500,1608000,30787500,0,0,0,-95324500,225764000,-950141500,161835000,22764000,0,628040500,1608000,287255000,0,0,0,230293500,233941500,1570005000,346801500,22764000,3320709000,25333000,0,256467500,0,0,0,325618000,8177500,2520146500,184966500,0,3320709000,5229,14,297,0,0,0,-852,1965,-8361,1500,208,0,5461,14,2524,0,0,0,2001,2036,13923,3118,208,29285,232,0,2227,0,0,0,2853,71,22284,1618,0,29285
2015-01-06,308279000,88812500,66533500,0,1500500,0,166622500,-31588000,-466964000,-133196000,0,0,328560500,95652500,66533500,0,1500500,0,166622500,25834500,596776000,117506500,0,1398986500,20281500,6840000,0,0,0,0,0,57422500,1063740000,250702500,0,1398986500,2657,755,569,0,13,0,1427,-277,-4014,-1130,0,0,2834,815,569,0,13,0,1427,221,5197,1032,0,12108,177,60,0,0,0,0,0,498,9211,2162,0,12108
2015-01-07,-51172000,111114000,22720000,-688500,693000,0,510546500,0,-439760000,-151287000,-2166000,0,145644500,231374500,22720000,0,693000,0,510546500,0,1132813000,74253500,0,2118045000,196816500,120260500,0,688500,0,0,0,0,1572573000,225540500,2166000,2118045000,-440,957,199,-6,6,0,4470,0,-3845,-1322,-19,0,1275,2012,199,0,6,0,4470,0,9941,651,0,18554,1715,1055,0,6,0,0,0,0,13786,1973,19,18554
2015-01-08,123219000,176657000,97054000,-177434000,25250000,0,61015500,-1482000,-348137500,43858000,0,0,502635000,176657000,97054000,0,25250000,0,163242500,2280000,741889500,219131500,0,1928139500,379416000,0,0,177434000,0,0,102227000,3762000,1090027000,175273500,0,1928139500,1041,1537,846,-1542,220,0,530,-13,-3005,386,0,0,4361,1537,846,0,220,0,1423,20,6516,1918,0,16841,3320,0,0,1542,0,0,893,33,9521,1532,0,16841
2015-01-09,150728500,263248500,698000,0,0,-78299000,-71020500,-2174000,-530384000,267202500,0,0,204471000,263248500,698000,0,0,0,0,2350000,1238158000,479732000,0,2188657500,53742500,0,0,0,0,78299000,71020500,4524000,1768542000,212529500,0,2188657500,1281,2261,6,0,0,-681,-613,-19,-4534,2299,0,0,1746,2261,6,0,0,0,0,20,10600,4121,0,18754,465,0,0,0,0,681,613,39,15134,1822,0,18754
2015-01-12,-294877000,362352000,48476500,-1166000,0,0,67673000,-11400000,-240624500,69566000,0,0,163966000,458766000,48476500,0,0,0,67673000,0,1208022000,360545000,0,2307448500,458843000,96414000,0,1166000,0,0,0,11400000,1448646500,290979000,0,2307448500,-2549,3036,411,-10,0,0,580,-95,-1995,622,0,0,1397,3866,411,0,0,0,580,0,10277,3088,0,19619,3946,830,0,10,0,0,0,95,12272,2466,0,19619
2015-01-13,278074500,1145063000,96293500,0,0,0,-468980500,-88586500,-980455500,19167000,-575500,0,345945500,1401585000,96293500,0,0,0,0,36100000,1018835500,315155500,3596000,3217511000,67871000,256522000,0,0,0,0,468980500,124686500,1999291000,295988500,4171500,3217511000,2290,9401,792,0,0,0,-3860,-728,-8086,196,-5,0,2849,11504,792,0,0,0,0,300,8429,2617,29,26520,559,2103,0,0,0,0,3860,1028,16515,2421,34,26520
2015-01-14,361190500,213771000,15437000,131547500,0,23531000,92130000,-48850000,-466819000,-321938000,0,0,450934500,295777500,17738500,133586500,0,23531000,152880000,11925000,783402500,515768500,0,2385544000,89744000,82006500,2301500,2039000,0,0,60750000,60775000,1250221500,837706500,0,2385544000,2986,1774,128,1092,0,195,764,-400,-3850,-2689,0,0,3737,2451,147,1109,0,195,1264,100,6573,4293,0,19869,751,677,19,17,0,0,500,500,10423,6982,0,19869
2015-01-15,291820500,-83744000,2054000,-7205500,0,0,-265409000,0,-844815500,907299500,0,0,506140500,42028000,12867000,0,0,0,197539500,0,823657500,1046287500,0,2628520000,214320000,125772000,10813000,7205500,0,0,462948500,0,1668473000,138988000,0,2628520000,2401,-697,17,-60,0,0,-2237,0,-6937,7513,0,0,4184,349,107,0,0,0,1621,0,6850,8667,0,21778,1783,1046,90,60,0,0,3858,0,13787,1154,0,21778
2015-01-16,65451000,35343500,-187000000,-242753000,0,24426500,23045000,80328000,179660500,21498500,0,0,91334000,50234500,118085500,0,0,24426500,158220500,80328000,766460500,367404500,0,1656494000,25883000,14891000,305085500,242753000,0,0,135175500,0,586800000,345906000,0,1656494000,533,289,-1551,-2005,0,201,180,660,1524,169,0,0,749,413,973,0,0,201,1302,660,6367,3031,0,13696,216,124,2524,2005,0,0,1122,0,4843,2862,0,13696
2015-01-19,-1622500,17842500,18366500,-15167500,0,0,0,7369500,66517000,-117005500,23700000,0,28584000,157400500,18366500,951500,0,0,0,7369500,1172163000,290342000,23700000,1698877000,30206500,139558000,0,16119000,0,0,0,0,1105646000,407347500,0,1698877000,-15,148,155,-128,0,0,0,62,562,-984,200,0,241,1330,155,8,0,0,0,62,9883,2451,200,14330,256,1182,0,136,0,0,0,0,9321,3435,0,14330
2015-01-20,-2405500,-322717500,-70811000,-2383500,49376500,0,357725000,29188500,-199616500,186044000,-24400000,0,40445000,4656500,54331000,0,49376500,0,357725000,53288500,729960500,370640000,0,1660423000,42850500,327374000,125142000,2383500,0,0,0,24100000,929577000,184596000,24400000,1660423000,-24,-2718,-600,-20,410,0,3000,248,-1690,1594,-200,0,340,39,457,0,410,0,3000,448,6055,3129,0,13878,364,2757,1057,20,0,0,0,200,7745,1535,200,13878
2015-01-21,321842500,141898500,-267758000,-5264000,0,0,5456000,221000500,-655062500,237887000,0,0,553531000,203189000,40281500,0,0,0,185501500,245700500,367000000,375541500,0,1970745000,231688500,61290500,308039500,5264000,0,0,180045500,24700000,1022062500,137654500,0,1970745000,2611,1151,-2175,-43,0,0,32,1800,-5311,1935,0,0,4500,1651,328,0,0,0,1500,2000,2999,3056,0,16034,1889,500,2503,43,0,0,1468,200,8310,1121,0,16034
2015-01-22,-5328000,415277000,-99603500,-129806000,0,0,-111906500,-13649500,-60946500,6205000,-242000,0,267030000,426855500,0,51384000,0,0,68255000,0,491626000,137440500,0,1442591000,272358000,11578500,99603500,181190000,0,0,180161500,13649500,552572500,131235500,242000,1442591000,-48,3389,-818,-1066,0,0,-919,-112,-475,51,-2,0,2188,3484,0,420,0,0,560,0,4030,1124,0,11806,2236,95,818,1486,0,0,1479,112,4505,1073,2,11806
2015-01-23,193770500,8960000,-558943500,-161036000,0,0,-47396500,-195972500,738916000,24072000,-2370000,0,329419000,11584000,53778500,0,0,0,238770500,30454500,1589986500,95110000,0,2349103000,135648500,2624000,612722000,161036000,0,0,286167000,226427000,851070500,71038000,2370000,2349103000,1626,75,-4682,-1349,0,0,-393,-1645,6188,200,-20,0,2761,97,450,0,0,0,2000,255,13307,792,0,19662,1135,22,5132,1349,0,0,2393,1900,7119,592,20,19662
