date,금융투자_value_net,보험_value_net,투신_value_net,사모_value_net,은행_value_net,기타금융_value_net,연기금_value_net,기타법인_value_net,개인_value_net,외국인_value_net,기타외국인_value_net,전체_value_net,금융투자_value_buy,보험_value_buy,투신_value_buy,사모_value_buy,은행_value_buy,기타금융_value_buy,연기금_value_buy,기타법인_value_buy,개인_value_buy,외국인_value_buy,기타외국인_value_buy,전체_value_buy,금융투자_value_sell,보험_value_sell,투신_value_sell,사모_value_sell,은행_value_sell,기타금융_value_sell,연기금_value_sell,기타법인_value_sell,개인_value_sell,외국인_value_sell,기타외국인_value_sell,전체_value_sell,금융투자_vol_net,보험_vol_net,투신_vol_net,사모_vol_net,은행_vol_net,기타금융_vol_net,연기금_vol_net,기타법인_vol_net,개인_vol_net,외국인_vol_net,기타외국인_vol_net,전체_vol_net,금융투자_vol_buy,보험_vol_buy,투신_vol_buy,사모_vol_buy,은행_vol_buy,기타금융_vol_buy,연기금_vol_buy,기타법인_vol_buy,개인_vol_buy,외국인_vol_buy,기타외국인_vol_buy,전체_vol_buy,금융투자_vol_sell,보험_vol_sell,투신_vol_sell,사모_vol_sell,은행_vol_sell,기타금융_vol_sell,연기금_vol_sell,기타법인_vol_sell,개인_vol_sell,외국인_vol_sell,기타외국인_vol_sell,전체_vol_sell
2018-12-14,-1329542330,-71095670,-6603483420,-7493751720,-7274070,-338928590,-65080050,-342805620,21269825260,-5032970080,15106290,0,754865960,0,52009470,194523390,0,0,0,120398850,119784607610,206067190,180972180,121293444650,2084408290,71095670,6655492890,7688275110,7274070,338928590,65080050,463204470,98514782350,5239037270,165865890,121293444650,-143272,-7725,-727701,-799565,-780,-36346,-7131,-35659,2305297,-548570,1452,0,81785,0,5998,22439,0,0,0,13226,13278267,21856,19740,13443311,225057,7725,733699,822004,780,36346,7131,48885,10972970,570426,18288,13443311
2018-12-17,-110548790,0,-53842000,-219383660,0,-6474000,5493600,7455230,395779130,-10926610,-7552900,0,8200,0,0,0,0,0,5493600,36520910,72378717450,356320090,60533940,72837594190,110556990,0,53842000,219383660,0,6474000,0,29065680,71982938320,367246700,68086840,72837594190,-13069,0,-6123,-25061,0,-780,630,847,45584,-1100,-928,0,1,0,0,0,0,0,630,4210,8442387,41639,7004,8495871,13070,0,6123,25061,0,780,0,3363,8396803,42739,7932,8495871
2018-12-18,-20694030,0,-10081920,-55275800,0,0,-4799310,0,-24836800,104435050,11252810,0,6447170,0,0,0,0,0,0,0,16910636470,196568740,16995070,17130647450,27141200,0,10081920,55275800,0,0,4799310,0,16935473270,92133690,5742260,17130647450,-2629,0,-1312,-7168,0,0,-630,0,-4524,14714,1549,0,801,0,0,0,0,0,0,0,2236012,26736,2283,2265832,3430,0,1312,7168,0,0,630,0,2240536,12022,734,2265832
2018-12-19,34198820,0,23266630,131675210,0,0,0,4260000,-99473830,-92551750,-1375080,0,50063120,0,23266630,131675210,0,0,0,4260000,11012968810,64861170,4695630,11291790570,15864300,0,0,0,0,0,0,0,11112442640,157412920,6070710,11291790570,4871,0,3236,18331,0,0,0,600,-14156,-12697,-185,0,7001,0,3236,18331,0,0,0,600,1530798,9126,664,1569756,2130,0,0,0,0,0,0,0,1544954,21823,849,1569756
2018-12-20,-41978990,0,-20046500,-14834600,0,0,0,-4337200,-119717870,196530970,4384190,0,0,0,21723530,103197310,0,0,0,2349280,82309795570,444003920,293703290,83174772900,41978990,0,41770030,118031910,0,0,0,6686480,82429513440,247472950,289319100,83174772900,-5310,0,-2150,-783,0,0,0,-600,-14387,22876,354,0,0,0,2718,12927,0,0,0,266,10046977,54066,34901,10151855,5310,0,4868,13710,0,0,0,866,10061364,31190,34547,10151855
2018-12-21,43074660,0,47134830,183397940,0,0,0,-69181030,-2487270,-172859110,-29080020,0,43092640,0,47134830,183397940,0,0,0,14534190,146640501300,554510480,156940690,147640112070,17980,0,0,0,0,0,0,83715220,146642988570,727369590,186020710,147640112070,4609,0,5043,19380,0,0,0,-7345,2508,-20930,-3265,0,4611,0,5043,19380,0,0,0,1522,15200440,57178,16656,15304830,2,0,0,0,0,0,0,8867,15197932,78108,19921,15304830
2018-12-24,-70226150,0,-45752150,-488212200,0,0,0,53348650,537640450,-17470650,30672050,0,0,0,0,0,0,0,0,85769500,150906138100,1107778950,131838150,152231524700,70226150,0,45752150,488212200,0,0,0,32420850,150368497650,1125249600,101166100,152231524700,-5829,0,-3757,-40182,0,0,0,4494,42670,-73,2677,0,0,0,0,0,0,0,0,7361,12983051,96468,11337,13098217,5829,0,3757,40182,0,0,0,2867,12940381,96541,8660,13098217
2018-12-26,-5732100,0,0,0,0,0,0,-1621500,33303600,-51997600,26047600,0,0,0,0,0,0,0,0,111000,58909343100,812103500,37950350,59759507950,5732100,0,0,0,0,0,0,1732500,58876039500,864101100,11902750,59759507950,-511,0,0,0,0,0,0,-140,2789,-4450,2312,0,0,0,0,0,0,0,0,10,5232531,73415,3355,5309311,511,0,0,0,0,0,0,150,5229742,77865,1043,5309311
2018-12-27,-500,0,0,0,0,0,0,0,-123379450,111128150,12251800,0,11100,0,0,0,0,0,0,0,46690168300,801133200,29627200,47520939800,11600,0,0,0,0,0,0,0,46813547750,690005050,17375400,47520939800,0,0,0,0,0,0,0,0,-11127,10041,1086,0,1,0,0,0,0,0,0,0,4105722,70856,2623,4179202,1,0,0,0,0,0,0,0,4116849,60815,1537,4179202
2018-12-28,171921950,0,0,0,0,0,0,-5323000,-202238700,-10062100,45701850,0,172965950,0,0,0,0,0,0,0,72222968850,704092050,159618550,73259645400,1044000,0,0,0,0,0,0,5323000,72425207550,714154150,113916700,73259645400,15614,0,0,0,0,0,0,-510,-18671,-217,3784,0,15704,0,0,0,0,0,0,0,6316710,63243,14061,6409718,90,0,0,0,0,0,0,510,6335381,63460,10277,6409718
2019-01-02,-611215450,-428091300,-419548050,-1845675400,0,-21094000,0,-30768000,3427027000,-81167750,10532950,0,0,0,131274050,1184098100,0,0,0,11250000,36422574450,148830300,58452200,37956479100,611215450,428091300,550822100,3029773500,0,21094000,0,42018000,32995547450,229998050,47919250,37956479100,-56811,-39940,-39178,-172692,0,-1990,0,-2980,320106,-7416,901,0,0,0,12227,110468,0,0,0,1000,3375444,14028,5392,3518559,56811,39940,51405,283160,0,1990,0,3980,3055338,21444,4491,3518559
2019-01-03,-94696100,0,-210074850,-1649937450,0,0,0,11844000,1625507850,31828250,285528300,0,12250000,0,5184000,0,0,0,0,13089150,97214867100,985248450,407036750,98637675450,106946100,0,215258850,1649937450,0,0,0,1245150,95589359250,953420200,121508450,98637675450,-8041,0,-18781,-143625,0,0,0,978,141996,3622,23851,0,1000,0,432,0,0,0,0,1082,8252748,85051,34217,8374530,9041,0,19213,143625,0,0,0,104,8110752,81429,10366,8374530
2019-01-04,0,0,-8568000,-23100000,0,0,0,68779600,13164500,-74764700,24488600,0,0,0,0,0,0,0,0,81179100,48691624000,435470750,70790550,49279064400,0,0,8568000,23100000,0,0,0,12399500,48678459500,510235450,46301950,49279064400,0,0,-714,-1925,0,0,0,5679,586,-5704,2078,0,0,0,0,0,0,0,0,6712,4074772,37213,5931,4124628,0,0,714,1925,0,0,0,1033,4074186,42917,3853,4124628
2019-01-07,0,0,-4417150,-3847300,0,0,0,-139800,78146350,-30198200,-39543900,0,0,0,0,0,0,0,0,0,54194903250,465877250,36114600,54696895100,0,0,4417150,3847300,0,0,0,139800,54116756900,496075450,75658500,54696895100,0,0,-369,-291,0,0,0,-12,6236,-2357,-3207,0,0,0,0,0,0,0,0,0,4321492,39357,2853,4363702,0,0,369,291,0,0,0,12,4315256,41714,6060,4363702
2019-01-08,0,0,0,-55935850,0,0,0,-3655550,-30744400,77655700,12680100,0,0,0,0,0,0,0,0,2759050,88077147150,778876550,115966150,88974748900,0,0,0,55935850,0,0,0,6414600,88107891550,701220850,103286050,88974748900,0,0,0,-3914,0,0,0,-275,-2723,6035,877,0,0,0,0,0,0,0,0,202,6421607,57476,8449,6487734,0,0,0,3914,0,0,0,477,6424330,51441,7572,6487734
2019-01-09,0,0,0,-40050000,0,0,0,18503100,21991750,-41862350,41417500,0,0,0,0,0,0,0,0,20081100,24125802450,162520950,46720900,24355125400,0,0,0,40050000,0,0,0,1578000,24103810700,204383300,5303400,24355125400,0,0,0,-3000,0,0,0,1362,1325,-2806,3119,0,0,0,0,0,0,0,0,1482,1784363,12202,3505,1801552,0,0,0,3000,0,0,0,120,1783038,15008,386,1801552
2019-01-10,0,0,0,-455461550,0,0,0,-4504500,403414000,50267350,6284700,0,0,0,0,122607600,0,0,0,783000,25757979650,305246900,26269450,26212886600,0,0,0,578069150,0,0,0,5287500,25354565650,254979550,19984750,26212886600,0,0,0,-35779,0,0,0,-363,31622,4034,486,0,0,0,0,9848,0,0,0,60,2009011,24151,2038,2045108,0,0,0,45627,0,0,0,423,1977389,20117,1552,2045108
2019-01-11,0,0,0,-10106200,0,0,0,7933500,-43484300,-52371650,98028650,0,0,0,0,170234600,0,0,0,8122250,22378890050,466972000,110081450,23134300350,0,0,0,180340800,0,0,0,188750,22422374350,519343650,12052800,23134300350,0,0,0,-393,0,0,0,621,-4013,-4034,7819,0,0,0,0,13879,0,0,0,636,1799705,37739,8787,1860746,0,0,0,14272,0,0,0,15,1803718,41773,968,1860746
2019-01-14,-500664950,0,-789704950,-2884709150,0,-138890500,0,-7332000,4693378650,-12545600,-359531500,0,0,0,0,126860750,0,0,0,0,26246757550,622927150,27076400,27023621850,500664950,0,789704950,3011569900,0,138890500,0,7332000,21553378900,635472750,386607900,27023621850,-40993,0,-65201,-240303,0,-11307,0,-611,389630,-770,-30445,0,0,0,0,10990,0,0,0,0,2223878,52151,2342,2289361,40993,0,65201,251293,0,11307,0,611,1834248,52921,32787,2289361
2019-01-15,0,0,0,3517250,0,0,0,18633000,-12530200,-10178100,558050,0,0,0,0,74226350,0,0,0,18633000,24618304300,338595500,16729750,25066488900,0,0,0,70709100,0,0,0,0,24630834500,348773600,16171700,25066488900,0,0,0,352,0,0,0,1605,-1302,-723,68,0,0,0,0,6474,0,0,0,1605,2151225,29716,1472,2190492,0,0,0,6122,0,0,0,0,2152527,30439,1404,2190492
