ticker,name,year,reprt_code,revenue,operating_income,net_income,equity,roe
009470,삼화전기,2024,11014,58411132034.0,6589886245.0,5308932014.0,110771633558.0,0.04792681883868982
009470,삼화전기,2025,11012,59227403188.0,5339305885.0,5798125341.0,115013708480.0,0.05041247184902528
009470,삼화전기,2025,11013,61704426707.0,5737836094.0,1153955440.0,110567941010.0,0.01043661869307699
009470,삼화전기,2025,11014,54013930282.0,3089229387.0,1752855616.0,117136485667.0,0.014964215513372014
010950,S-Oil,2024,11011,36637031000000.0,422177000000.0,-193042000000.0,8695647000000.0,-0.022199843208906708
010950,S-Oil,2024,11012,9570838000000.0,160647000000.0,-21337000000.0,9008475000000.0,-0.002368547395646877
010950,S-Oil,2024,11013,9308489000000.0,454106000000.0,166203000000.0,9029496000000.0,0.018406675189844485
010950,S-Oil,2024,11014,8840623000000.0,-414948000000.0,-206188000000.0,8787736000000.0,-0.023463153649586194
010950,S-Oil,2025,11012,8048504000000.0,-343971000000.0,-66782000000.0,8580933000000.0,-0.00778260359333886
010950,S-Oil,2025,11013,8990533000000.0,-21541000000.0,-44558000000.0,8652852000000.0,-0.005149516020844919
010950,S-Oil,2025,11014,8415367000000.0,229216000000.0,63206000000.0,8646015000000.0,0.007310419887080927
012170,아센디오,2024,11011,13465653938.0,-4121526339.0,-7849399002.0,19274942915.0,-0.40723332030682696
012170,아센디오,2024,11012,6286608683.0,-1306814333.0,2589658453.0,28225170567.0,0.09174996646531337
012170,아센디오,2024,11013,2405281020.0,-579928372.0,-822514073.0,25594725212.0,-0.03213607749984231
012170,아센디오,2024,11014,3193206407.0,-1712341193.0,-1388892111.0,27053650536.0,-0.05133843616231445
012170,아센디오,2025,11012,1686882989.0,-1674508543.0,-6661985161.0,11721037325.0,-0.5683784614174496
012170,아센디오,2025,11013,594178333.0,-1128960400.0,-2181805420.0,18239803389.0,-0.11961781459310006
012170,아센디오,2025,11014,2296390828.0,-443939383.0,-321405266.0,11945323723.0,-0.026906367165349696
012280,영화금속,2024,11011,301699111405.0,9880071656.0,8654294939.0,72967224045.0,0.11860523751955761
012280,영화금속,2024,11012,79090830783.0,2026765262.0,1504476831.0,68711866305.0,0.021895444148204178
012280,영화금속,2024,11013,70315519130.0,1991635058.0,1735648501.0,68228524569.0,0.02543875178254406
012280,영화금속,2024,11014,81595052128.0,2177471965.0,2274250554.0,70988827152.0,0.03203673937492185
012280,영화금속,2025,11012,97006575740.0,6703748474.0,3417681331.0,77125518151.0,0.04431323656469576
012280,영화금속,2025,11013,84255889440.0,3193355124.0,2610843627.0,73723761198.0,0.035413869077949696
012280,영화금속,2025,11014,85435403352.0,3166457580.0,2838752231.0,79965554293.0,0.035499688035658346
017670,SK텔레콤,2024,11011,17940609000000.0,1823409000000.0,1387095000000.0,11827634000000.0,0.11727577975442934
017670,SK텔레콤,2024,11012,4422359000000.0,537508000000.0,350174000000.0,12586628000000.0,0.027821113009775137
017670,SK텔레콤,2024,11013,4474611000000.0,498489000000.0,361940000000.0,12452982000000.0,0.029064524464903266
017670,SK텔레콤,2024,11014,4532118000000.0,533263000000.0,280176000000.0,12561404000000.0,0.02230451309423692
017670,SK텔레콤,2025,11012,4338760000000.0,338260000000.0,83247000000.0,11971398000000.0,0.00695382444055406
017670,SK텔레콤,2025,11013,4453717000000.0,567384000000.0,361575000000.0,11941857000000.0,0.030277954257867935
017670,SK텔레콤,2025,11014,3978064000000.0,48438000000.0,-166731000000.0,11808944000000.0,-0.014119044005967002
018250,애경산업,2024,11011,679076572242.0,46824923401.0,42498547149.0,400611022456.0,0.10608431812099656
018250,애경산업,2024,11012,173609216609.0,17458280437.0,12942144294.0,391237614360.0,0.03308001025200812
018250,애경산업,2024,11013,169110960292.0,16473288429.0,13586015836.0,385784664101.0,0.035216578314899334
018250,애경산업,2024,11014,165280498189.0,9550718712.0,5694361210.0,394801899533.0,0.014423337923996056
018250,애경산업,2025,11012,171310787639.0,11154212121.0,11118207989.0,398811767522.0,0.027878334829693
018250,애경산업,2025,11013,151077640354.0,6043707282.0,5031447123.0,391053490232.0,0.012866391040302433
018250,애경산업,2025,11014,169254263266.0,7298092288.0,4325756098.0,403331748455.0,0.010725057262588957
020180,대신정보통신,2024,11011,256790690611.0,8839861270.0,6567168452.0,34383806128.0,0.19099597140446045
020180,대신정보통신,2024,11012,29527838077.0,-1990389694.0,-1739276095.0,28432898752.0,-0.06117125482598419
020180,대신정보통신,2024,11013,26919584738.0,-3165404114.0,-2697679179.0,30533259499.0,-0.08835215182605552
020180,대신정보통신,2024,11014,107065215041.0,14174487416.0,10818154315.0,39251053067.0,0.2756143713274097
020180,대신정보통신,2025,11011,202861487817.0,9099047769.0,5738588612.0,38942736867.0,0.14735966379555795
020180,대신정보통신,2025,11012,48484275645.0,2188565544.0,1211413370.0,38310258006.0,0.03162112272410886
020180,대신정보통신,2025,11013,38588854214.0,-182768780.0,-691024781.0,37098844636.0,-0.018626584945705908
020180,대신정보통신,2025,11014,131976480239.0,16483090331.0,13930802571.0,52241060577.0,0.2666638543922148
021650,한국큐빅,2024,11011,252147530422.0,11435096474.0,9701104111.0,94773911753.0,0.10236049068316438
021650,한국큐빅,2024,11012,67303700959.0,4172884128.0,3342678370.0,90989704534.0,0.03673688564128644
021650,한국큐빅,2024,11013,59833457318.0,2863431283.0,2288591354.0,87647386513.0,0.026111347355012717
021650,한국큐빅,2024,11014,59078989921.0,2182223833.0,906939450.0,91896643984.0,0.009869124819812855
021650,한국큐빅,2025,11012,61953662251.0,3564265038.0,1072564066.0,96904953520.0,0.011068206805121019
021650,한국큐빅,2025,11013,60058317716.0,3072719549.0,2439735266.0,95832389454.0,0.025458357867316712
021650,한국큐빅,2025,11014,56947249960.0,2014591277.0,1896829154.0,98801782674.0,0.019198329247344204
024830,세원물산,2024,11011,230905196586.0,1341678298.0,21970864940.0,381410293871.0,0.05760427889088634
024830,세원물산,2024,11012,62505731226.0,-282542104.0,2767050760.0,360578749925.0,0.0076739152281590185
024830,세원물산,2024,11013,42055158562.0,-1355074347.0,1932605472.0,357824950884.0,0.005400980192201615
024830,세원물산,2024,11014,59008127821.0,-814190597.0,8272095647.0,368839917567.0,0.022427332978398058
024830,세원물산,2025,11012,59687348520.0,1915388578.0,6487972598.0,388776010461.0,0.0166882020068747
024830,세원물산,2025,11013,45458030115.0,-1622380259.0,2150708099.0,382299554122.0,0.005625714379760074
024830,세원물산,2025,11014,52336994842.0,1669191474.0,6077980412.0,394844980719.0,0.015393333355617675
025770,한국정보통신,2024,11011,790967629000.0,39125171000.0,43544033000.0,306452843000.0,0.142090484701426
025770,한국정보통신,2024,11012,202587754000.0,14710296000.0,12063351000.0,289883685000.0,0.04161445305209226
025770,한국정보통신,2024,11013,194763228000.0,9121688000.0,7231028000.0,278340013000.0,0.025979117849649593
025770,한국정보통신,2024,11014,199132326000.0,12970965000.0,21913853000.0,310794248000.0,0.0705091974546453
025770,한국정보통신,2025,11012,204838008000.0,14019871000.0,10901958000.0,318968809000.0,0.03417875883908135
025770,한국정보통신,2025,11013,192398562000.0,10090782000.0,8559801000.0,308945997000.0,0.027706463534466836
025770,한국정보통신,2025,11014,218203070000.0,15139840000.0,12518454000.0,329267464000.0,0.03801910412867273
028050,삼성E&A,2024,11011,9966551344477.0,971611686017.0,638672451980.0,3895741786193.0,0.16394116628661984
028050,삼성E&A,2024,11012,2686275966447.0,262573016528.0,205264248510.0,3724576967949.0,0.05511075493307154
028050,삼성E&A,2024,11013,2384735479283.0,209349578689.0,164125530466.0,3524966889712.0,0.04656087152052924
028050,삼성E&A,2024,11014,2317032879805.0,203926524591.0,158246654003.0,3808974185271.0,0.041545740744299925
028050,삼성E&A,2025,11012,2178022750175.0,180856635847.0,141716656088.0,4072691769499.0,0.03479680371329284
028050,삼성E&A,2025,11013,2097955167196.0,157303530634.0,157212353869.0,3959275349996.0,0.039707355506143016
028050,삼성E&A,2025,11014,1995609066761.0,176546857607.0,157371980624.0,4236811435495.0,0.037143966168891755
028080,휴맥스홀딩스,2024,11011,542662558111.0,5985566488.0,-62037236736.0,163653016659.0,-0.37907786854467557
028080,휴맥스홀딩스,2024,11012,119770125563.0,2702934804.0,-28808497925.0,204910265513.0,-0.14059079886933395
028080,휴맥스홀딩스,2024,11013,184830978600.0,6166605742.0,-11025613245.0,234612490104.0,-0.04699499689940855
028080,휴맥스홀딩스,2024,11014,112821221713.0,1762634161.0,-8463912785.0,199153007147.0,-0.04249954799202488
028080,휴맥스홀딩스,2025,11012,113549960306.0,-5739851601.0,-37709588206.0,112886547001.0,-0.3340485576697279
028080,휴맥스홀딩스,2025,11013,99399455666.0,-7083277075.0,-19133600414.0,148817879256.0,-0.12857057572421074
028080,휴맥스홀딩스,2025,11014,99236838238.0,-1736837957.0,78512693.0,112536057975.0,0.0006976669914761158
029480,광무,2024,11011,6526887723.0,-4708785371.0,104172205343.0,233269706294.0,0.44657408369909474
029480,광무,2024,11012,1411768438.0,-262466773.0,47635890386.0,256105123475.0,0.18600131750448964
029480,광무,2024,11013,1618954791.0,-676195455.0,92766049493.0,206436902911.0,0.44936757035632197
029480,광무,2024,11014,1397005830.0,-1246855411.0,-10156565452.0,259237072886.0,-0.03917867664115452
029480,광무,2025,11012,2452525929.0,-1125374741.0,13126806239.0,202904909379.0,0.06469437471560056
029480,광무,2025,11013,1452201363.0,-1110169602.0,-40582471901.0,192687234393.0,-0.21061318373706595
029480,광무,2025,11014,2017717038.0,-1180872961.0,2474539934.0,211160309448.0,0.011718773951737252
031440,신세계푸드,2024,11011,1534799832427.0,20764540801.0,11198108532.0,293492439730.0,0.038154674588216864
031440,신세계푸드,2024,11012,393946074582.0,9666486991.0,5090014027.0,294472356150.0,0.01728520155014897
031440,신세계푸드,2024,11013,381815700050.0,4644415010.0,4704175734.0,289248195228.0,0.01626345751368278
031440,신세계푸드,2024,11014,385384922752.0,8466938990.0,4006677383.0,298812224754.0,0.013408679602377497
031440,신세계푸드,2025,11012,371487792054.0,13482188296.0,14232869771.0,310455213386.0,0.0458451627072655
031440,신세계푸드,2025,11013,358620031751.0,7880639509.0,5379150159.0,295633084855.0,0.01819535916163892
031440,신세계푸드,2025,11014,319183832684.0,1686110620.0,6746432805.0,317442678841.0,0.02125244415663194
033230,인성정보,2024,11011,359586930378.0,-4745951116.0,-9407606826.0,89035521479.0,-0.1056612761932201
033230,인성정보,2024,11012,83790792006.0,-1717748173.0,-2750056133.0,93122891008.0,-0.02953147290888712
033230,인성정보,2024,11013,73818946623.0,-2610145550.0,-3835231685.0,71977962119.0,-0.05328341581356907
033230,인성정보,2024,11014,84972789668.0,144639539.0,-1558322170.0,91583456331.0,-0.017015323863383447
033230,인성정보,2025,11012,75158294847.0,-3612083581.0,-3868021303.0,83390288913.0,-0.0463845533265325
033230,인성정보,2025,11013,60990472937.0,-3632806185.0,-3784850489.0,85966823420.0,-0.04402687383839592
033230,인성정보,2025,11014,80534083703.0,-251749841.0,-360839718.0,83147581620.0,-0.0043397500079930765
034230,파라다이스,2024,11011,1072108965111.0,136055145217.0,110693395334.0,2075202630542.0,0.05334100569499046
034230,파라다이스,2024,11012,273264222236.0,32009063189.0,17568153282.0,1834281026926.0,0.009577678133345676
034230,파라다이스,2024,11013,264770275676.0,48404054704.0,36980407494.0,1816167006737.0,0.020361787961582077
034230,파라다이스,2024,11014,268244966333.0,36204836504.0,19662276490.0,1852182774757.0,0.010615732290556273
034230,파라다이스,2025,11012,284461115698.0,42851813099.0,32352075906.0,2136287567980.0,0.015144064118947717
034230,파라다이스,2025,11013,283304948532.0,57275580029.0,43103642952.0,2105589356692.0,0.020471058525731847
