ticker,name,market,has_features
095570,AJ네트웍스,KOSPI,False
006840,AK홀딩스,KOSPI,False
027410,BGF,KOSPI,False
282330,BGF리테일,KOSPI,False
138930,BNK금융지주,KOSPI,False
001460,BYC,KOSPI,False
001465,BYC우,KOSPI,False
001040,CJ,KOSPI,False
079160,CJ CGV,KOSPI,False
00104K,CJ4우(전환),KOSPI,False
000120,CJ대한통운,KOSPI,False
011150,CJ씨푸드,KOSPI,False
011155,CJ씨푸드1우,KOSPI,False
001045,CJ우,KOSPI,False
097950,CJ제일제당,KOSPI,False
097955,CJ제일제당 우,KOSPI,False
000480,CR홀딩스,KOSPI,False
000590,CS홀딩스,KOSPI,False
012030,DB,KOSPI,False
005830,DB손해보험,KOSPI,False
016610,DB증권,KOSPI,False
000990,DB하이텍,KOSPI,False
000300,DH오토넥스,KOSPI,False
001530,DI동일,KOSPI,False
015590,DKME,KOSPI,False
000210,DL,KOSPI,False
000215,DL우,KOSPI,False
375500,DL이앤씨,KOSPI,False
37550L,DL이앤씨2우(전환),KOSPI,False
37550K,DL이앤씨우,KOSPI,False
007340,DN오토모티브,KOSPI,True
004840,DRB동일,KOSPI,False
155660,DSR,KOSPI,True
069730,DSR제강,KOSPI,False
017860,DS단석,KOSPI,False
092780,DYP,KOSPI,False
017940,E1,KOSPI,False
365550,ESR켄달스퀘어리츠,KOSPI,False
383220,F&F,KOSPI,False
007700,F&F홀딩스,KOSPI,False
114090,GKL,KOSPI,False
078930,GS,KOSPI,False
006360,GS건설,KOSPI,False
001250,GS글로벌,KOSPI,False
007070,GS리테일,KOSPI,False
078935,GS우,KOSPI,False
499790,GS피앤엘,KOSPI,False
012630,HDC,KOSPI,False
039570,HDC랩스,KOSPI,False
089470,HDC현대EP,KOSPI,False
294870,HDC현대산업개발,KOSPI,False
267270,HD건설기계,KOSPI,False
009540,HD한국조선해양,KOSPI,False
267250,HD현대,KOSPI,False
443060,HD현대마린솔루션,KOSPI,False
071970,HD현대마린엔진,KOSPI,False
322000,HD현대에너지솔루션,KOSPI,False
267260,HD현대일렉트릭,KOSPI,False
329180,HD현대중공업,KOSPI,False
097230,HJ중공업,KOSPI,False
014790,HL D&I,KOSPI,False
003580,HLB글로벌,KOSPI,False
204320,HL만도,KOSPI,False
060980,HL홀딩스,KOSPI,False
011200,HMM,KOSPI,False
035000,HS애드,KOSPI,False
002460,HS화성,KOSPI,False
487570,HS효성,KOSPI,True
298050,HS효성첨단소재,KOSPI,False
015360,INVENI,KOSPI,False
175330,JB금융지주,KOSPI,False
234080,JW생명과학,KOSPI,False
001060,JW중외제약,KOSPI,False
001067,JW중외제약2우B,KOSPI,False
001065,JW중외제약우,KOSPI,False
096760,JW홀딩스,KOSPI,False
008970,KBI동양철관,KOSPI,False
105560,KB금융,KOSPI,False
415640,KB발해인프라,KOSPI,False
432320,KB스타리츠,KOSPI,False
002380,KCC,KOSPI,False
344820,KCC글라스,KOSPI,False
009070,KCTC,KOSPI,False
009440,KC그린홀딩스,KOSPI,False
119650,KC코트렐,KOSPI,False
092220,KEC,KOSPI,False
003620,KG모빌리티,KOSPI,False
016380,KG스틸,KOSPI,False
001390,KG케미칼,KOSPI,False
001940,KISCO홀딩스,KOSPI,False
025000,KPX케미칼,KOSPI,False
092230,KPX홀딩스,KOSPI,False
000040,KR모터스,KOSPI,False
044450,KSS해운,KOSPI,False
030200,KT,KOSPI,False
033780,KT&G,KOSPI,False
058850,KTcs,KOSPI,False
058860,KTis,KOSPI,False
093050,LF,KOSPI,False
003550,LG,KOSPI,False
034220,LG디스플레이,KOSPI,False
