bsns_year,reprt_code,net_income,revenue,op_income,equity,revenue_yoy,net_income_yoy,roe,ticker,name
2024,11014,-3842328876.0,8125790179.0,-2166538835.0,35672693933.0,,,-0.1077106451006087,217480,에스디생명공학
2024,11014,-99896875437.0,450514389036.0,-149641970675.0,1569483984507.0,,,-0.06364950290867682,056190,에스에프에이
2024,11014,13691836761.0,61702751567.0,6095852391.0,488523936489.0,,,0.028026951676928313,237690,에스티팜
2024,11014,-10758839859.0,36911735955.0,-10173250876.0,30693275243.0,,,-0.350527591917832,088800,에이스테크
2024,11014,-1514683198.0,58450635787.0,297078332.0,235225064264.0,,,-0.006439293375216285,036810,에프에스티
2024,11014,3551247028.0,32417331494.0,3820058379.0,74540706043.0,,,0.04764171439362818,083500,에프엔에스테크
2024,11014,-2041799301.0,11322998702.0,-1116955042.0,26034631402.0,,,-0.07842628034453937,070300,엑스큐어
2024,11014,-574361956.0,4577193535.0,-172479214.0,54124703593.0,,,-0.01061182635417301,317770,엑스페릭스
2024,11014,368027691.0,4214848763.0,-67387475.0,78682325167.0,,,0.004677387077960347,079000,와토스코리아
2024,11014,792039194.0,27912323253.0,740316233.0,86338243957.0,,,0.00917367736126841,038620,위즈코프
2024,11014,4837631579.0,21480193158.0,4251098791.0,196155863110.0,,,0.02466218191136688,136540,윈스테크넷
2024,11014,-2177284859.0,14061433562.0,-2328991084.0,31723429583.0,,,-0.06863333780805234,303530,이노뎁
2024,11014,-8434952898.0,38187132528.0,-9558722353.0,226263653985.0,,,-0.03727930999717343,091120,이엠텍
2024,11014,6300688481.0,106421589437.0,8917074210.0,71811402146.0,,,0.08773938807363835,353810,이지바이오
2024,11014,-1558322170.0,84972789668.0,144639539.0,91583456331.0,,,-0.017015323863383447,033230,인성정보
2024,11014,429632761.0,15831836747.0,846632626.0,45131065255.0,,,0.00951966807281159,417840,저스템
2024,11014,-3293950260.0,1690729384.0,-2498663825.0,82509410607.0,,,-0.0399221159837075,225220,제놀루션
2024,11014,590597410.0,12364544454.0,749348293.0,55619067423.0,,,0.01061861403587238,381620,제닉스로보틱스
2024,11014,-36422210127.0,32661740443.0,-25247220463.0,342002826785.0,,,-0.10649681018542229,204270,제이앤티씨
2024,11014,-1410121577.0,39050891100.0,1906301022.0,175194335580.0,,,-0.008048899368416441,080220,제주반도체
2024,11014,214487741.0,10328559295.0,1103003121.0,108067969433.0,,,0.0019847485071233634,382800,지앤비에스 에코
2024,11014,-193440843.0,2632283365.0,-147767967.0,19750145461.0,,,-0.009794400926412499,109820,진매트릭스
2024,11014,1682416121.0,7029789735.0,1725242447.0,66325461202.0,,,0.025366067427349724,094360,칩스앤미디어
2024,11014,3748893018.0,131583925648.0,8607554096.0,231260474661.0,,,0.016210694990120667,084730,팅크웨어
2024,11014,25512480181.0,89208791343.0,34923262674.0,542211127535.0,,,0.04705266802063769,214450,파마리서치
2024,11014,748458850.0,8376365605.0,693528444.0,52244742249.0,,,0.014326012872890113,239890,피엔에이치테크
2024,11014,40244072.0,0.0,-4951500.0,7235485269.0,,,0.00556204186779611,475250,하나33호스팩
2024,11014,2948145131.0,43582118585.0,3029978178.0,110142111948.0,,,0.026766738705644853,066130,하츠
2024,11014,5452444481.0,22808427003.0,5787807287.0,125589886558.0,,,0.043414677968372464,034950,한국기업평가
2024,11014,21913853000.0,199132326000.0,12970965000.0,310794248000.0,,,0.0705091974546453,025770,한국정보통신
2024,11014,906939450.0,59078989921.0,2182223833.0,91896643984.0,,,0.009869124819812855,021650,한국큐빅
2024,11014,4210843087.0,36546361394.0,4692464498.0,178486358000.0,,,0.023591960383885474,114810,한솔아이원스
2024,11014,-3057797596.0,1522211939.0,-1395385063.0,48269444535.0,,,-0.06334851427144148,320000,한울반도체
2024,11014,-2702343720.0,31892302975.0,-2193996474.0,105609652681.0,,,-0.02558803718598132,007770,한일화학
2024,11014,-8463912785.0,112821221713.0,1762634161.0,199153007147.0,,,-0.04249954799202488,028080,휴맥스홀딩스
