date,open,high,low,close,volume,등락률
2020-01-02,70300,71300,70100,71200,4481,1.2802275960170697
2020-01-03,71400,71600,70900,71200,2996,0.0
2020-01-06,70800,71500,69700,70000,3294,-1.6853932584269662
2020-01-07,69700,70800,69700,70400,2611,0.5714285714285714
2020-01-08,70400,70400,68500,69100,5852,-1.8465909090909092
2020-01-09,69800,70000,68800,68800,6711,-0.43415340086830684
2020-01-10,68700,69100,68200,68500,6110,-0.436046511627907
2020-01-13,68500,69600,68200,69300,4550,1.167883211678832
2020-01-14,69500,69500,68500,69300,5270,0.0
2020-01-15,69000,70500,68800,70400,6397,1.5873015873015872
2020-01-16,70200,73800,70200,73600,26117,4.545454545454546
2020-01-17,74000,74000,72100,73500,6787,-0.1358695652173913
2020-01-20,72800,73400,72000,72300,6247,-1.6326530612244898
2020-01-21,72300,72600,70900,71700,5548,-0.8298755186721992
2020-01-22,71900,72200,71100,71100,2495,-0.8368200836820083
2020-01-23,71500,71500,70500,71500,3191,0.5625879043600562
2020-01-28,70300,70500,67200,68000,14516,-4.895104895104895
2020-01-29,67900,68900,67100,68400,4233,0.5882352941176471
2020-01-30,68100,68800,66900,67500,5377,-1.3157894736842104
2020-01-31,67500,67900,66800,67400,3726,-0.14814814814814814
2020-02-03,67400,67400,65000,67400,5100,0.0
2020-02-04,67400,67700,66900,67500,4314,0.1483679525222552
2020-02-05,68000,68200,66900,67500,7104,0.0
2020-02-06,67700,68700,67000,68100,8966,0.8888888888888888
2020-02-07,68500,68900,67900,68600,5359,0.7342143906020557
2020-02-10,68200,68400,67600,68100,4871,-0.7288629737609329
2020-02-11,68200,68200,67400,67800,7817,-0.4405286343612335
2020-02-12,68000,68800,67600,68700,4904,1.3274336283185841
2020-02-13,69000,69700,67900,69300,10500,0.8733624454148471
2020-02-14,68700,69300,68100,68200,8980,-1.5873015873015872
2020-02-17,68300,68500,66800,67400,8701,-1.1730205278592376
2020-02-18,67400,67400,65900,66700,11982,-1.0385756676557862
2020-02-19,66700,66800,65700,66400,6797,-0.4497751124437781
2020-02-20,66400,66400,65100,65600,7752,-1.2048192771084338
2020-02-21,65200,65200,63400,63800,12793,-2.7439024390243905
2020-02-24,63000,69200,62000,62600,62471,-1.8808777429467085
2020-02-25,63200,63800,60700,63200,15127,0.9584664536741214
2020-02-26,62500,62500,61100,62000,21671,-1.89873417721519
2020-02-27,61400,61800,60600,61200,14886,-1.2903225806451613
2020-02-28,61100,61200,58600,58700,12978,-4.084967320261438
2020-03-02,57100,59600,57100,58800,8209,0.17035775127768313
