date,open,high,low,close,volume,등락률
2020-01-02,46250,46350,45050,45200,123857,-2.27027027027027
2020-01-03,45400,45800,44400,44600,178637,-1.3274336283185841
2020-01-06,43700,44650,43300,43450,197047,-2.57847533632287
2020-01-07,43700,44250,43250,43350,157688,-0.23014959723820483
2020-01-08,43300,43850,42600,42650,171815,-1.6147635524798154
2020-01-09,43200,44550,43200,44550,165340,4.4548651817116065
2020-01-10,44700,45000,44200,45000,126826,1.0101010101010102
2020-01-13,44950,44950,43500,44050,168687,-2.111111111111111
2020-01-14,43550,44550,43000,43050,172409,-2.2701475595913734
2020-01-15,43050,44150,43050,43500,156910,1.0452961672473868
2020-01-16,43500,44100,43200,43900,97126,0.9195402298850575
2020-01-17,44100,44400,43700,44050,75746,0.3416856492027335
2020-01-20,44100,44200,43550,43650,97163,-0.9080590238365494
2020-01-21,43700,43800,42700,42750,102614,-2.0618556701030926
2020-01-22,43100,43850,42500,43850,87321,2.5730994152046787
2020-01-23,44000,44050,43200,43850,72832,0.0
2020-01-28,42550,43500,41200,41400,246428,-5.587229190421892
2020-01-29,41700,42250,41400,41800,133975,0.966183574879227
2020-01-30,41450,42350,41200,41300,131701,-1.1961722488038278
2020-01-31,41700,42000,40750,40800,139039,-1.2106537530266344
2020-02-03,39750,41150,39600,40700,119608,-0.24509803921568626
2020-02-04,40550,41450,40550,41450,81084,1.8427518427518428
2020-02-05,41600,42050,40700,40900,99156,-1.3268998793727382
2020-02-06,41850,42700,41200,42700,142269,4.400977995110025
2020-02-07,42700,43650,42300,43200,153826,1.1709601873536302
2020-02-10,42600,43050,41900,42000,116948,-2.7777777777777777
2020-02-11,42350,42800,42000,42800,79274,1.9047619047619049
2020-02-12,42750,43200,42600,42800,82284,0.0
2020-02-13,43000,43050,41600,42050,198456,-1.7523364485981308
2020-02-14,41900,42400,41750,41850,75095,-0.47562425683709864
2020-02-17,41850,42500,41300,42450,100508,1.4336917562724014
2020-02-18,42600,42950,41900,42500,135313,0.11778563015312131
2020-02-19,42600,42600,41700,41900,112105,-1.411764705882353
2020-02-20,42550,43550,42050,42300,193733,0.9546539379474941
2020-02-21,41950,42350,41200,41350,143524,-2.2458628841607564
2020-02-24,40500,41300,39000,39000,187802,-5.683192261185006
2020-02-25,39900,39900,38700,39450,176890,1.153846153846154
2020-02-26,38450,39850,38450,39050,112828,-1.0139416983523446
2020-02-27,39150,39750,38300,38300,136667,-1.9206145966709345
2020-02-28,37300,38250,36350,36750,177416,-4.046997389033943
2020-03-02,37100,39150,36600,39150,170142,6.530612244897959
2020-03-03,39800,40000,38900,39000,172760,-0.38314176245210724
2020-03-04,38750,39550,38700,39250,123462,0.641025641025641
