date,open,high,low,close,volume,등락률
2020-01-02,19300,19350,18950,19300,501745,0.5208333333333333
2020-01-03,19350,19450,19150,19250,489337,-0.2590673575129534
2020-01-06,19000,19000,18700,18800,738233,-2.3376623376623376
2020-01-07,18950,19250,18800,19200,659443,2.127659574468085
2020-01-08,19300,19300,18450,18850,1398833,-1.8229166666666667
2020-01-09,19200,19550,19100,19350,1067732,2.6525198938992043
2020-01-10,19450,19450,19100,19300,545247,-0.2583979328165375
2020-01-13,19200,19250,19000,19100,484650,-1.0362694300518136
2020-01-14,19200,19200,18800,19000,779836,-0.5235602094240838
2020-01-15,18950,19150,18900,19000,443058,0.0
2020-01-16,19000,19050,18750,18800,695897,-1.0526315789473684
2020-01-17,18800,19050,18800,19050,396507,1.3297872340425532
2020-01-20,19050,19050,18850,18850,408333,-1.0498687664041995
2020-01-21,18900,19000,18800,18800,259715,-0.2652519893899204
2020-01-22,18900,18900,18650,18700,520621,-0.5319148936170213
2020-01-23,18600,18700,18250,18300,825522,-2.13903743315508
2020-01-28,17900,18000,17600,17800,1102718,-2.73224043715847
2020-01-29,18400,18450,17850,17950,814236,0.8426966292134831
2020-01-30,17900,18000,17300,17350,1105266,-3.3426183844011144
2020-01-31,17500,17550,17200,17250,887463,-0.5763688760806917
2020-02-03,16400,16850,16150,16550,1801090,-4.057971014492753
2020-02-04,16550,16850,16400,16650,1359326,0.6042296072507553
2020-02-05,16850,16850,16200,16350,1531514,-1.8018018018018018
2020-02-06,16500,17300,16450,17150,1755947,4.892966360856269
2020-02-07,17200,17200,16850,16900,768937,-1.4577259475218658
2020-02-10,16800,16800,16550,16700,564105,-1.183431952662722
2020-02-11,16800,16900,16700,16800,563963,0.5988023952095809
2020-02-12,16750,16800,16350,16600,1432490,-1.1904761904761905
2020-02-13,16650,16800,16400,16450,1093725,-0.9036144578313252
2020-02-14,16400,16450,16250,16250,1080174,-1.21580547112462
2020-02-17,16200,16500,16100,16300,743983,0.3076923076923077
2020-02-18,16100,16200,15900,15900,1098850,-2.4539877300613497
2020-02-19,16050,16100,15800,15800,826724,-0.628930817610063
2020-02-20,15950,16150,15800,15800,854821,0.0
2020-02-21,15650,15800,15200,15350,1051095,-2.848101265822785
2020-02-24,15000,15000,14500,14550,1630190,-5.211726384364821
2020-02-25,14450,14950,14400,14650,1272761,0.6872852233676976
2020-02-26,14500,15100,14300,14850,1459368,1.3651877133105803
2020-02-27,14850,15000,14400,14500,1039616,-2.356902356902357
2020-02-28,14200,14400,14000,14100,1281573,-2.7586206896551726
2020-03-02,14050,14400,13850,14050,1166161,-0.3546099290780142
2020-03-03,14500,14550,14150,14200,962538,1.0676156583629894
2020-03-04,14150,14400,14150,14300,721174,0.7042253521126761
2020-03-05,14550,14800,14200,14300,1770448,0.0
2020-03-06,14100,14200,13900,13950,1362492,-2.4475524475524475
2020-03-09,13450,13500,12700,12750,2783576,-8.60215053763441
2020-03-10,12500,13200,12450,12900,1908277,1.1764705882352942
2020-03-11,12900,13150,12450,12550,1374721,-2.7131782945736433
2020-03-12,12500,12550,11600,11900,2013921,-5.179282868525896
2020-03-13,10850,11400,10350,11100,3387922,-6.722689075630252
2020-03-16,11300,11700,10650,10650,1731143,-4.054054054054054
2020-03-17,9800,10500,9750,9860,4370610,-7.417840375586854
2020-03-18,9970,9980,8060,8060,7548719,-18.255578093306287
2020-03-19,8170,8310,7020,7070,6956184,-12.28287841191067
2020-03-20,7240,7690,7070,7630,3918606,7.920792079207921
2020-03-23,6910,7340,6910,7070,2523898,-7.339449541284404
2020-03-24,7350,7840,7150,7790,2771615,10.183875530410184
