date,open,high,low,close,volume,등락률
2020-01-02,5710,5961,5659,5938,136078,4.911660777385159
2020-01-03,5886,6113,5482,5584,280171,-5.961603233411923
2020-01-06,5509,5635,5433,5610,74690,0.4656160458452722
2020-01-07,5633,5734,5482,5584,114952,-0.4634581105169341
2020-01-08,5557,5557,5179,5306,119302,-4.978510028653295
2020-01-09,5433,5509,5382,5408,47785,1.9223520542781758
2020-01-10,5433,5509,5332,5509,36239,1.8676035502958581
2020-01-13,5482,5507,5407,5483,32059,-0.47195498275549097
2020-01-14,5559,5559,5433,5534,43927,0.9301477293452489
2020-01-15,5532,5557,5457,5483,28031,-0.9215757137694254
2020-01-16,5532,5658,5482,5483,74835,0.0
2020-01-17,5557,5557,5432,5483,24076,0.0
2020-01-20,5458,5534,5332,5408,110214,-1.3678643078606603
2020-01-21,5406,5406,5255,5281,24623,-2.3483727810650885
2020-01-22,5281,5382,5281,5332,16462,0.9657261882219277
2020-01-23,5356,5457,5280,5458,41912,2.363090772693173
2020-01-28,5431,5431,5230,5306,30528,-2.784902894833272
2020-01-29,5357,5382,5231,5357,36200,0.9611760271390879
2020-01-30,5357,5408,5034,5130,77212,-4.237446331902184
2020-01-31,5155,5231,5054,5130,26973,0.0
2020-02-03,5053,5179,4982,5180,25077,0.9746588693957114
2020-02-04,5205,5281,5155,5231,18696,0.9845559845559846
2020-02-05,5382,5382,5155,5256,41382,0.47792009176065764
2020-02-06,5256,5357,5256,5332,21297,1.445966514459665
2020-02-07,5355,5380,5255,5306,9662,-0.48762190547636913
2020-02-10,5332,5332,5205,5256,8832,-0.9423294383716547
2020-02-11,5256,5281,5130,5256,17001,0.0
2020-02-12,5256,5256,5104,5130,27044,-2.3972602739726026
2020-02-13,5180,5180,5104,5155,16262,0.4873294346978557
2020-02-14,5155,5306,5104,5231,28326,1.4742967992240543
2020-02-17,5256,5256,5104,5130,20359,-1.9307971707130567
2020-02-18,5128,5128,5027,5028,47746,-1.9883040935672516
2020-02-19,5077,5077,4957,5003,27855,-0.4972155926809865
2020-02-20,5054,5054,4937,4973,11253,-0.5996402158704778
2020-02-21,4973,4973,4791,4887,63307,-1.729338427508546
2020-02-24,4845,4845,4527,4563,91843,-6.629834254143646
2020-02-25,4477,4607,4477,4558,46832,-0.10957703265395574
2020-02-26,4557,4627,4431,4619,43345,1.338306274681878
2020-02-27,4551,4622,4421,4472,31230,-3.182507036155012
2020-02-28,4420,4476,4239,4376,56158,-2.146690518783542
2020-03-02,4541,4587,4411,4523,49145,3.3592321755027426
2020-03-03,4542,4632,4497,4548,42736,0.552730488613752
2020-03-04,4548,4675,4533,4670,26358,2.6824978012313103
2020-03-05,4690,4796,4670,4766,40713,2.0556745182012848
2020-03-06,4764,4764,4618,4649,17243,-2.4548887956357532
2020-03-09,4574,4579,4346,4422,24357,-4.882770488277049
2020-03-10,4412,4412,4195,4382,20871,-0.9045680687471733
2020-03-11,4376,4387,4078,4114,42647,-6.11592879963487
2020-03-12,4107,4107,3638,3775,63053,-8.240155566358776
2020-03-13,3434,3475,2940,3431,117491,-9.112582781456954
2020-03-16,3421,3588,3265,3285,32801,-4.25531914893617
2020-03-17,2956,3259,2956,3214,38989,-2.1613394216133943
2020-03-18,3187,3328,2950,2951,41414,-8.182949595519602
2020-03-19,3035,3060,2425,2438,63701,-17.38393764825483
2020-03-20,2500,2879,2493,2880,52776,18.12961443806399
2020-03-23,2778,3096,2682,2956,157805,2.638888888888889
2020-03-24,3083,3234,2931,3169,106468,7.205683355886333
2020-03-25,3288,3288,3132,3249,71436,2.5244556642473968
2020-03-26,3233,3500,3142,3350,163240,3.1086488150200062
2020-03-27,3485,3586,3238,3345,127945,-0.1492537313432836
2020-03-30,3330,3654,3254,3649,95091,9.088191330343797
2020-03-31,3663,3990,3648,3805,80038,4.2751438750342565
2020-04-01,3876,4129,3699,3851,168935,1.2089356110381078
2020-04-02,3935,4011,3718,3911,105619,1.5580368735393404
2020-04-03,3925,3940,3819,3896,69795,-0.383533623114293
2020-04-06,3876,4033,3800,3952,74644,1.4373716632443532
2020-04-07,4093,4093,3881,3937,79349,-0.37955465587044535
2020-04-08,3927,3987,3714,3937,56325,0.0
2020-04-09,3955,3960,3885,3901,46236,-0.9144018288036576
2020-04-10,3885,3980,3794,3901,36131,0.0
2020-04-13,3906,3906,3639,3664,60168,-6.075365290951038
2020-04-14,3678,4127,3678,3896,158558,6.331877729257641
2020-04-16,3890,4850,3835,4447,288948,14.14271047227926
2020-04-17,4472,4614,4422,4584,139615,3.080728581065887
2020-04-20,4599,4624,4498,4513,92546,-1.5488656195462478
2020-04-21,4437,4513,4144,4417,81333,-2.1271881231996455
2020-04-22,4405,4405,4244,4366,47887,-1.1546298392574146
2020-04-23,4340,4486,4340,4437,54454,1.6262024736601008
2020-04-24,4536,4819,4461,4533,292265,2.1636240703177823
2020-04-27,4532,4673,4512,4548,57669,0.3309066843150232
2020-04-28,4599,4599,4467,4503,44629,-0.9894459102902375
2020-04-29,4582,4723,4497,4548,217992,0.9993337774816788
2020-05-04,4546,4642,4436,4523,77881,-0.5496921723834652
2020-05-06,4533,4624,4493,4574,62977,1.127570196772054
2020-05-07,4629,4629,4528,4569,29755,-0.10931351114997813
2020-05-08,4665,4690,4553,4680,117259,2.4294156270518714
2020-05-11,4749,5153,4669,5104,559431,9.05982905982906
2020-05-12,5052,5203,4856,5028,370772,-1.489028213166144
2020-05-13,4943,5812,4943,5635,785967,12.072394590294351
2020-05-14,5812,7101,5660,6545,1114513,16.149068322981368
2020-05-15,6772,7328,6292,6368,1606699,-2.7043544690603514
2020-05-18,6291,6796,6215,6797,508987,6.73680904522613
2020-05-19,6821,6922,6443,6772,377913,-0.36780932764454904
2020-05-20,6823,7000,6696,7000,489472,3.3668044890726523
2020-05-21,7124,7149,6847,6949,526909,-0.7285714285714286
2020-05-22,6974,7278,6924,7126,502582,2.5471290833213414
2020-05-25,7177,7177,6974,7101,280727,-0.3508279539713724
2020-05-26,7125,7226,6999,7227,349970,1.7743979721166032
2020-05-27,7328,7454,7126,7202,337448,-0.34592500345925004
2020-05-28,7276,7402,7100,7252,257202,0.6942515967786725
2020-05-29,7276,7478,7125,7252,395587,0.0
2020-06-01,7378,7528,7226,7429,273130,2.4407060121345836
2020-06-02,7480,7657,7328,7657,284753,3.0690537084398977
2020-06-03,7758,7808,6898,7278,477353,-4.949719211179313
2020-06-04,7252,7505,7252,7480,230997,2.7754877713657597
2020-06-05,7529,7629,7352,7530,160793,0.6684491978609626
2020-06-08,7581,7808,7404,7480,240828,-0.6640106241699867
2020-06-09,7479,7554,6973,7505,272694,0.3342245989304813
2020-06-10,7630,7630,7278,7278,272566,-3.0246502331778813
2020-06-11,7379,7682,7075,7682,457121,5.5509755427315195
2020-06-12,7302,7604,7201,7454,329240,-2.9679770892996613
2020-06-15,7579,7629,6847,6873,411126,-7.794472766299973
2020-06-16,7100,7579,6923,7252,274815,5.514331441874
2020-06-17,7278,7303,6899,7101,118666,-2.082184225041368
2020-06-18,7101,7202,6823,6924,176729,-2.4926066751161806
2020-06-19,7000,7024,6620,6722,168493,-2.9173887926054305
2020-06-22,6695,6972,6670,6772,96396,0.7438262421898245
2020-06-23,6873,6873,6621,6621,82544,-2.229769639692853
2020-06-24,6747,6973,6671,6899,132712,4.198761516387252
2020-06-25,6796,7655,6721,7530,350221,9.146253080156544
2020-06-26,7452,7528,7024,7050,245029,-6.374501992031872
2020-06-29,6999,7933,6923,7808,797089,10.75177304964539
2020-06-30,7758,7833,7328,7581,427158,-2.9072745901639343
2020-07-01,7605,7958,7555,7707,387441,1.662049861495845
2020-07-02,7681,8286,7630,8086,287755,4.917607369923446
2020-07-03,8085,8514,8035,8440,206785,4.377937175364828
2020-07-06,8592,8668,8339,8415,184102,-0.2962085308056872
2020-07-07,8541,8541,7859,7960,191576,-5.40701128936423
2020-07-08,7960,8061,7707,8036,126910,0.9547738693467337
2020-07-09,8287,8666,7984,8288,303461,3.1358885017421603
2020-07-10,8287,8615,7984,8440,306026,1.833976833976834
2020-07-13,8491,8592,8288,8390,111425,-0.5924170616113744
2020-07-14,8287,8792,8186,8541,338401,1.799761620977354
2020-07-15,8541,8819,8364,8769,185923,2.6694766420793816
2020-07-16,8565,8918,8389,8642,257625,-1.4482837267647395
2020-07-17,8642,9451,8642,9426,348625,9.071974080074057
2020-07-20,9097,9577,8945,8971,312242,-4.827074050498621
2020-07-21,8943,9095,8591,8844,304124,-1.415672723219262
2020-07-22,8971,9249,8819,9047,259483,2.295341474445952
2020-07-23,9247,9702,7453,7884,1479609,-12.855090085111087
2020-07-24,7681,8110,7605,7732,360629,-1.9279553526128868
2020-07-27,7732,7884,7529,7581,180994,-1.9529229177444387
2020-07-28,7783,7783,7505,7581,118792,0.0
2020-07-29,7680,7705,7428,7505,142557,-1.0025062656641603
2020-07-30,7503,7528,6493,7227,641105,-3.7041972018654232
2020-07-31,7379,7505,7227,7480,186980,3.50076103500761
2020-08-03,7503,7554,7176,7227,139861,-3.3823529411764706
2020-08-04,7226,7454,7226,7278,104155,0.70568700705687
2020-08-05,7326,7377,7176,7252,111157,-0.35724100027480077
2020-08-06,7278,7404,7177,7278,132727,0.35852178709321564
2020-08-07,7278,7328,7177,7177,116725,-1.3877438856828799
2020-08-10,7277,8388,7226,8263,825385,15.131670614462866
2020-08-11,8263,8693,7934,8693,461243,5.203921094033643
2020-08-12,8742,9424,8111,9097,765354,4.647417462326009
2020-08-13,9147,9575,8995,9274,388131,1.9456963834231067
2020-08-14,9274,9476,8945,9148,245325,-1.3586370498166918
2020-08-18,9148,9325,8238,8769,285179,-4.1429820725841715
2020-08-19,8895,9274,8769,9148,253687,4.322043562549892
2020-08-20,9148,9350,8592,8592,198771,-6.077831219938785
2020-08-21,8742,9146,8641,8743,225667,1.7574487895716944
2020-08-24,8844,10032,8668,9830,568075,12.432803385565595
2020-08-25,9955,10333,9728,9956,277995,1.281790437436419
2020-08-26,10209,10992,9956,10462,544260,5.082362394535958
2020-08-27,10460,10485,9955,10209,222671,-2.4182756643089274
2020-08-28,10207,10460,9652,10032,202251,-1.7337643255950632
2020-08-31,10283,10409,9905,10032,160502,0.0
2020-09-01,10183,10889,10183,10436,335811,4.027113237639553
2020-09-02,10510,10536,10132,10487,144475,0.4886929858183212
2020-09-03,10511,10940,10259,10866,211337,3.613998283589206
2020-09-04,10385,11370,10334,10967,261270,0.9295048775998528
2020-09-07,10942,11043,10462,10639,144836,-2.9907905534786177
2020-09-08,10664,10714,10133,10361,166124,-2.613027540182348
2020-09-09,10108,10411,10108,10285,118878,-0.7335199305086382
2020-09-10,10487,10512,10159,10386,87365,0.9820126397666504
2020-09-11,10384,10384,9955,10234,86056,-1.4635085692278067
2020-09-14,10335,10563,10057,10563,115132,3.2147742818057456
2020-09-15,10563,10563,10108,10285,93924,-2.6318280791441824
2020-09-16,10283,10384,10132,10234,79761,-0.49586776859504134
2020-09-17,10335,10335,9375,9704,348405,-5.178815712331445
2020-09-18,9678,9906,9628,9881,93309,1.8239901071723001
2020-09-21,9853,9853,9273,9577,85619,-3.0766116789798605
2020-09-22,9575,9575,8970,9122,122884,-4.750965855695939
2020-09-23,9221,9272,8717,9198,98846,0.8331506248629686
2020-09-24,8945,9653,8617,8895,155173,-3.294194390084801
2020-09-25,8919,9146,8616,8920,104813,0.2810567734682406
2020-09-28,8894,9575,8894,9476,105632,6.233183856502242
2020-09-29,9552,9552,9274,9426,40148,-0.5276487969607428
2020-10-05,9274,9603,9274,9603,51919,1.877784850413749
2020-10-06,9451,10007,9451,9906,92338,3.1552639800062483
2020-10-07,9880,10384,9854,10234,228577,3.311124570967091
2020-10-08,10284,10384,10233,10335,114628,0.9869063904631621
2020-10-12,10511,10864,10461,10689,137962,3.4252539912917266
2020-10-13,11195,11422,10866,11195,475865,4.7338385255870525
2020-10-14,11268,11268,10941,11068,92423,-1.1344350156319785
2020-10-15,11068,11346,10891,11195,156751,1.147452114203108
2020-10-16,11319,11319,10461,10714,157380,-4.296560964716392
2020-10-19,10713,10763,10461,10714,58031,0.0
2020-10-20,10714,10765,10411,10538,75877,-1.642710472279261
2020-10-21,10613,11372,10538,11296,177583,7.193015752514709
2020-10-22,11270,12256,11220,11751,348371,4.027974504249292
2020-10-23,11877,12002,11422,11650,163187,-0.8595013190366776
2020-10-26,11750,12750,11250,11400,259631,-2.1459227467811157
2020-10-27,11100,11600,10750,11350,138418,-0.43859649122807015
2020-10-28,11500,11500,11050,11400,89028,0.4405286343612335
2020-10-29,10850,11400,10850,11350,105055,-0.43859649122807015
2020-10-30,11250,11600,11050,11300,54567,-0.4405286343612335
2020-11-02,11100,11500,11100,11500,41180,1.7699115044247788
2020-11-03,11500,11550,11150,11400,58524,-0.8695652173913043
2020-11-04,11450,11450,11200,11300,49479,-0.8771929824561403
2020-11-05,11400,11950,11400,11850,84741,4.867256637168142
2020-11-06,12000,12050,11650,11850,43108,0.0
2020-11-09,12000,12450,11850,12250,84261,3.375527426160337
2020-11-10,12250,12850,12100,12400,101559,1.2244897959183674
2020-11-11,12149,16100,11900,13500,931766,8.870967741935484
2020-11-12,13550,13550,12650,12850,244403,-4.814814814814815
2020-11-13,12350,12750,12000,12500,326645,-2.7237354085603114
2020-11-16,12400,12500,12100,12200,245049,-2.4
2020-11-17,12150,12450,12050,12400,140298,1.639344262295082
2020-11-18,12500,12800,12200,12400,145611,0.0
2020-11-19,12450,13400,12450,12650,474981,2.0161290322580645
2020-11-20,12750,12900,12649,12900,119753,1.9762845849802373
2020-11-23,12900,12900,12500,12700,171250,-1.550387596899225
2020-11-24,12699,12800,12450,12550,117011,-1.1811023622047243
2020-11-25,12550,12650,12000,12250,206919,-2.3904382470119523
2020-11-26,12100,14100,12100,12550,771015,2.4489795918367347
2020-11-27,12550,12750,12200,12650,167152,0.796812749003984
2020-11-30,12700,12900,12650,12700,114019,0.3952569169960474
2020-12-01,12800,12850,12500,12600,119077,-0.7874015748031495
2020-12-02,12600,12700,12300,12500,123758,-0.7936507936507936
2020-12-03,12499,12499,12150,12250,117950,-2.0
2020-12-04,12400,12700,12099,12450,163737,1.6326530612244898
2020-12-07,12350,12450,12150,12250,86979,-1.6064257028112447
2020-12-08,12250,12800,12150,12600,246930,2.857142857142857
2020-12-09,12600,13400,12449,13300,485159,5.555555555555555
2020-12-10,13099,14000,13099,13550,427143,1.8796992481203008
2020-12-11,13900,14400,13200,13450,318385,-0.7380073800738007
2020-12-14,13500,13549,13050,13100,139869,-2.6022304832713754
2020-12-15,13100,13250,12899,13250,85577,1.1450381679389312
2020-12-16,13150,13350,13000,13250,94249,0.0
2020-12-17,13400,13800,13000,13150,145277,-0.7547169811320755
2020-12-18,13249,13400,13150,13300,98804,1.1406844106463878
2020-12-21,13400,13600,13200,13400,109841,0.7518796992481203
2020-12-22,13400,13400,12800,12950,190596,-3.3582089552238807
2020-12-23,12900,13350,12550,12900,189583,-0.3861003861003861
2020-12-24,12800,13050,12699,12750,87058,-1.1627906976744187
2020-12-28,12750,12800,12500,12500,104666,-1.9607843137254901
2020-12-29,12499,12850,12450,12850,95250,2.8000000000000003
2020-12-30,12900,12950,12650,12800,76458,-0.38910505836575876
2021-01-04,13000,13800,12700,13650,327845,6.640625
2021-01-05,13850,14200,13100,13600,468014,-0.3663003663003663
2021-01-06,13850,14200,13450,13900,607405,2.2058823529411766
2021-01-07,14000,14350,13800,14100,296538,1.4388489208633095
2021-01-08,14250,14300,13650,13800,244122,-2.127659574468085
2021-01-11,14300,14700,13650,13850,608171,0.36231884057971014
2021-01-12,13900,14350,13400,13600,299287,-1.8050541516245486
2021-01-13,13900,13900,13400,13600,184513,0.0
2021-01-14,13600,14099,13500,13850,253779,1.8382352941176472
2021-01-15,13849,13950,13500,13700,167081,-1.083032490974729
2021-01-18,13700,14300,13400,13400,400865,-2.18978102189781
2021-01-19,13400,13650,13400,13650,141042,1.8656716417910446
2021-01-20,13850,13850,13499,13550,136613,-0.7326007326007326
2021-01-21,13650,13900,13500,13600,111299,0.36900369003690037
2021-01-22,13700,14100,13600,13800,328127,1.4705882352941175
2021-01-25,13850,14300,13800,14200,358964,2.898550724637681
2021-01-26,14300,14400,13699,13850,338908,-2.464788732394366
2021-01-27,13900,13950,13650,13850,163254,0.0
2021-01-28,13600,14000,13250,13500,352578,-2.527075812274368
2021-01-29,13650,13650,12500,12750,244741,-5.555555555555555
2021-02-01,12600,12850,12300,12850,195517,0.7843137254901961
2021-02-02,12900,13200,12700,12900,128082,0.38910505836575876
2021-02-03,13050,13050,12650,12800,83745,-0.7751937984496124
2021-02-04,12950,12950,12650,12800,100863,0.0
2021-02-05,12849,13700,12600,12900,264469,0.78125
2021-02-08,13150,13350,12950,13150,134071,1.937984496124031
2021-02-09,13350,13350,12900,12900,92504,-1.9011406844106464
2021-02-10,12950,13000,12700,13000,82047,0.7751937984496124
2021-02-15,13150,13400,13050,13400,125878,3.076923076923077
2021-02-16,13349,13700,13300,13500,124057,0.7462686567164178
2021-02-17,13550,13600,13300,13400,112462,-0.7407407407407408
2021-02-18,13299,13350,13000,13050,152848,-2.6119402985074625
2021-02-19,13100,13100,12800,13100,73525,0.38314176245210724
2021-02-22,13350,13350,12850,12850,115658,-1.9083969465648856
2021-02-23,12800,13200,12550,13200,142152,2.7237354085603114
2021-02-24,13250,13700,12699,12750,368483,-3.4090909090909087
2021-02-25,12900,13200,12750,13000,120049,1.9607843137254901
2021-02-26,12400,12750,12350,12500,117018,-3.8461538461538463
2021-03-02,12800,12800,12400,12450,96512,-0.4
2021-03-03,12350,12600,12350,12500,56667,0.4016064257028112
2021-03-04,12350,12649,12300,12500,63174,0.0
2021-03-05,12449,12500,12100,12500,86868,0.0
2021-03-08,12550,12600,12150,12250,63125,-2.0
2021-03-09,12250,12300,11400,11850,144463,-3.2653061224489797
2021-03-10,12050,12200,11800,11900,57609,0.42194092827004215
2021-03-11,11900,12000,11749,11900,86380,0.0
2021-03-12,11800,12150,11750,12000,70577,0.8403361344537815
2021-03-15,12000,12100,11899,11950,41695,-0.4166666666666667
2021-03-16,11950,12050,11900,12000,34969,0.41841004184100417
2021-03-17,12000,12050,11850,11900,46255,-0.8333333333333334
2021-03-18,12300,12700,12200,12250,142795,2.941176470588235
2021-03-19,12049,12550,11950,12500,67052,2.0408163265306123
2021-03-22,12500,12649,12300,12500,53248,0.0
2021-03-23,12600,12600,12300,12300,60871,-1.6
2021-03-24,12350,12450,12050,12400,46109,0.8130081300813009
2021-03-25,12200,12350,12100,12100,47040,-2.4193548387096775
2021-03-26,12100,12250,12000,12150,35455,0.4132231404958678
2021-03-29,12150,12500,11950,12400,84174,2.05761316872428
2021-03-30,12850,13150,12499,12650,154706,2.0161290322580645
2021-03-31,12800,12800,12150,12450,113545,-1.5810276679841897
2021-04-01,12450,12550,12050,12200,62403,-2.0080321285140563
2021-04-02,12400,12400,12200,12350,57561,1.2295081967213115
2021-04-05,12400,12500,12150,12350,47434,0.0
2021-04-06,12350,12400,12200,12250,62415,-0.8097165991902834
2021-04-07,12100,12350,12100,12200,58906,-0.40816326530612246
2021-04-08,12250,12350,12200,12350,60947,1.2295081967213115
2021-04-09,12400,12400,12150,12350,69828,0.0
2021-04-12,12400,12400,12250,12350,48771,0.0
2021-04-13,12349,13100,12200,13100,467971,6.0728744939271255
2021-04-14,13400,13950,12950,13300,666564,1.5267175572519083
2021-04-15,13400,13400,12900,13150,160544,-1.1278195488721803
2021-04-16,13149,13400,12850,13100,173684,-0.38022813688212925
2021-04-19,13050,13200,12900,13150,103810,0.38167938931297707
2021-04-20,13150,13350,12950,13300,155973,1.1406844106463878
2021-04-21,13350,13600,13150,13400,220012,0.7518796992481203
2021-04-22,13550,13550,13300,13400,173512,0.0
2021-04-23,13500,17150,13400,15150,4352099,13.059701492537313
2021-04-26,15850,17700,15750,16350,3745278,7.920792079207921
2021-04-27,16550,17300,15650,16900,1110839,3.3639143730886847
2021-04-28,16600,17150,16100,16900,834583,0.0
2021-04-29,16550,18200,16300,17300,2044861,2.366863905325444
2021-04-30,17200,17200,16000,16300,543114,-5.780346820809249
2021-05-03,16300,16950,16100,16350,513333,0.3067484662576687
