date,open,high,low,close,volume,등락률
2020-01-02,29800,29850,28600,29700,125696,-0.33557046979865773
2020-01-03,29550,30100,28750,29050,99151,-2.1885521885521886
2020-01-06,28700,28900,27200,27650,153939,-4.819277108433735
2020-01-07,27850,28650,27850,28500,73082,3.074141048824593
2020-01-08,28450,28450,26500,27300,181403,-4.2105263157894735
2020-01-09,28050,28750,27500,28650,94663,4.945054945054945
2020-01-10,28550,28800,27450,28600,116881,-0.17452006980802792
2020-01-13,28500,28700,27150,27200,149573,-4.895104895104895
2020-01-14,27450,27600,26800,26900,91689,-1.1029411764705883
2020-01-15,26850,27300,26600,27300,65693,1.486988847583643
2020-01-16,27050,28400,27050,28350,98819,3.8461538461538463
2020-01-17,28350,28400,27750,28050,36855,-1.0582010582010581
2020-01-20,28350,28350,27400,27450,36845,-2.13903743315508
2020-01-21,27450,27500,26450,26650,72538,-2.914389799635701
2020-01-22,26800,29650,26750,29650,163845,11.25703564727955
2020-01-23,29650,29650,28600,29000,63600,-2.1922428330522767
2020-01-28,28000,30750,27750,29000,182963,0.0
2020-01-29,29100,29150,28100,28650,57013,-1.206896551724138
2020-01-30,28350,29150,27900,28600,81152,-0.17452006980802792
2020-01-31,28700,29400,27350,27600,109193,-3.4965034965034967
2020-02-03,27700,28300,27300,27600,103184,0.0
2020-02-04,27450,31000,27400,31000,345237,12.318840579710146
2020-02-05,31800,31800,30200,30550,173500,-1.4516129032258065
2020-02-06,30850,31700,29350,29700,191073,-2.7823240589198037
2020-02-07,29500,29650,28650,28900,90002,-2.6936026936026933
2020-02-10,29000,30300,28500,29350,94967,1.5570934256055362
2020-02-11,29750,30050,29000,29800,72880,1.5332197614991483
2020-02-12,29600,30000,28800,29200,81117,-2.013422818791946
2020-02-13,29000,30750,28700,30300,207099,3.767123287671233
2020-02-14,30150,30450,29650,30000,72246,-0.9900990099009901
2020-02-17,30000,30000,28850,29400,75913,-2.0
2020-02-18,29150,29350,28050,28250,116881,-3.9115646258503403
2020-02-19,28500,29050,27600,28150,66597,-0.35398230088495575
