date,open,high,low,close,volume,등락률
2022-11-11,7849,8400,6750,6925,5611426,
2022-11-14,7250,7275,6525,6575,2399458,-5.054151624548736
2022-11-15,6550,6650,6375,6600,951100,0.38022813688212925
2022-11-16,6575,6650,6475,6600,672262,0.0
2022-11-17,6625,6800,6550,6750,941876,2.272727272727273
2022-11-18,6650,6749,6475,6575,556176,-2.5925925925925926
2022-11-21,6600,6650,6325,6475,447758,-1.520912547528517
2022-11-22,6500,6525,6300,6300,285168,-2.7027027027027026
2022-11-23,6350,6375,5900,5900,590710,-6.349206349206349
2022-11-24,5900,5900,5625,5650,511800,-4.23728813559322
2022-11-25,5625,5775,5600,5775,401236,2.2123893805309733
2022-11-28,5750,5750,5450,5500,321896,-4.761904761904762
2022-11-29,5475,5500,5350,5425,203040,-1.3636363636363635
2022-11-30,5375,5525,5325,5475,277616,0.9216589861751152
2022-12-01,5675,5675,5425,5475,309328,0.0
2022-12-02,5425,5475,5225,5275,232462,-3.65296803652968
2022-12-05,5250,5275,5175,5225,98196,-0.9478672985781991
2022-12-06,5175,5175,5000,5025,222018,-3.827751196172249
2022-12-07,4975,5075,4960,5050,96428,0.4975124378109453
2022-12-08,5050,5150,4995,5000,136238,-0.9900990099009901
2022-12-09,5025,5025,4910,4925,166318,-1.5
2022-12-12,4885,4925,4620,4625,315864,-6.091370558375635
2022-12-13,4700,5075,4665,4850,402604,4.864864864864865
2022-12-14,5000,5200,4925,5025,377846,3.608247422680412
2022-12-15,5075,5150,5000,5075,167532,0.9950248756218906
2022-12-16,4965,4995,4855,4960,139776,-2.2660098522167487
2022-12-19,5050,5275,5050,5200,237802,4.838709677419355
2022-12-20,5200,5200,4905,4935,192896,-5.096153846153846
2022-12-21,5025,5050,4745,4755,247996,-3.64741641337386
2022-12-22,4780,4805,4690,4720,172586,-0.7360672975814931
2022-12-23,4665,4705,4505,4510,201578,-4.4491525423728815
2022-12-26,4490,4590,4460,4505,133926,-0.11086474501108648
2022-12-27,4550,4990,4525,4775,509480,5.993340732519423
2022-12-28,4895,4920,4735,4755,204840,-0.41884816753926707
2022-12-29,4755,4755,4500,4505,99594,-5.257623554153523
2023-01-02,4550,4700,4485,4505,90222,0.0
2023-01-03,4515,4585,4400,4550,70302,0.9988901220865706
2023-01-04,4515,4590,4460,4560,41936,0.21978021978021978
2023-01-05,4650,4825,4615,4695,177710,2.9605263157894735
2023-01-06,4695,4745,4575,4705,86304,0.21299254526091588
2023-01-09,4750,4875,4750,4860,121840,3.294367693942614
2023-01-10,4815,4890,4805,4865,79588,0.102880658436214
2023-01-11,4870,4980,4840,4945,144796,1.644398766700925
2023-01-12,4950,5050,4900,5000,136290,1.1122345803842264
2023-01-13,5050,5050,4915,4915,103742,-1.7000000000000002
2023-01-16,4930,4970,4825,4950,85342,0.7121057985757884
2023-01-17,4930,4985,4860,4870,45932,-1.6161616161616161
2023-01-18,4925,4925,4825,4845,69692,-0.5133470225872689
2023-01-19,4850,4930,4805,4850,47512,0.10319917440660474
2023-01-20,4820,4875,4785,4815,114864,-0.7216494845360825
2023-01-25,4870,4900,4805,4875,88114,1.2461059190031152
2023-01-26,4920,5210,4870,5030,359714,3.1794871794871797
2023-01-27,5125,5200,4955,5175,292720,2.8827037773359843
2023-01-30,5250,5260,5025,5130,231634,-0.8695652173913043
2023-01-31,5125,5240,5055,5230,141774,1.949317738791423
2023-02-01,5270,5350,5215,5290,273696,1.147227533460803
2023-02-02,5340,5340,5250,5250,131678,-0.7561436672967864
2023-02-03,5250,5405,5250,5320,308530,1.3333333333333335
2023-02-06,5440,6140,5360,5565,4217042,4.605263157894736
2023-02-07,5600,5625,5485,5570,307802,0.08984725965858043
2023-02-08,5725,5985,5670,5775,814114,3.680430879712747
2023-02-09,5785,6180,5725,6080,571982,5.2813852813852815
2023-02-10,6125,6165,5920,6075,270898,-0.08223684210526315
2023-02-13,5965,6125,5875,6025,200016,-0.823045267489712
2023-02-14,6025,6150,5874,5950,184022,-1.2448132780082988
2023-02-15,5955,5984,5730,5850,218400,-1.680672268907563
2023-02-16,5849,5905,5740,5765,127366,-1.452991452991453
2023-02-17,5765,5765,5555,5610,151674,-2.6886383347788376
2023-02-20,5675,6395,5675,6260,750880,11.58645276292335
2023-02-21,6300,6445,5975,6055,683056,-3.2747603833865817
2023-02-22,6000,6055,5750,5815,277262,-3.963666391412056
2023-02-23,5875,6020,5675,5875,197000,1.0318142734307825
2023-02-24,5805,5940,5800,5845,98794,-0.5106382978723404
2023-02-27,5845,6080,5765,6025,160006,3.0795551753635584
2023-02-28,6025,6130,5995,6055,135600,0.49792531120331945
2023-03-02,6120,6220,5670,5725,599166,-5.450041288191578
2023-03-03,5805,5885,5680,5885,165764,2.7947598253275108
2023-03-06,5900,6315,5900,6265,917720,6.457094307561598
2023-03-07,6160,6194,5894,5950,512304,-5.027932960893855
2023-03-08,5960,6280,5860,6280,554700,5.546218487394958
2023-03-09,6890,7400,5560,5730,1127388,-8.75796178343949
2023-03-10,5630,5640,5400,5460,166961,-4.712041884816754
2023-03-13,5350,5370,5010,5070,195998,-7.142857142857142
2023-03-14,5010,5010,4840,4910,164273,-3.155818540433925
