date,open,high,low,close,volume,등락률
2020-01-02,44250,44250,43200,43400,5258,-2.0316027088036117
2020-01-03,43250,43850,43150,43200,4852,-0.4608294930875576
2020-01-06,43300,43300,42200,42350,10203,-1.9675925925925926
2020-01-07,43250,43250,42200,42500,6421,0.3541912632821724
2020-01-08,42850,42850,41350,41600,7567,-2.1176470588235294
2020-01-09,41850,43500,41400,41600,3870,0.0
2020-01-10,41600,42300,41000,41750,6439,0.3605769230769231
2020-01-13,41750,42550,41150,41800,6869,0.11976047904191617
2020-01-14,41900,42750,41900,42500,8878,1.674641148325359
2020-01-15,42500,43250,42500,43100,9237,1.411764705882353
2020-01-16,43100,43450,42450,42850,19515,-0.580046403712297
2020-01-17,42900,43250,42500,42950,13822,0.2333722287047841
2020-01-20,43500,43950,43200,43800,16275,1.979045401629802
2020-01-21,43800,43850,43500,43650,8169,-0.3424657534246575
2020-01-22,43700,44300,43700,44000,8542,0.8018327605956471
2020-01-23,44300,44300,43350,43500,7764,-1.1363636363636365
2020-01-28,42400,42500,40000,41300,12417,-5.057471264367816
2020-01-29,42000,42000,40900,40900,22682,-0.9685230024213075
2020-01-30,40900,41150,39450,39500,18038,-3.4229828850855744
2020-01-31,39500,40300,39200,39250,9656,-0.6329113924050633
2020-02-03,38900,39500,37150,38600,35621,-1.6560509554140128
2020-02-04,39400,39400,38550,38700,9303,0.2590673575129534
2020-02-05,38950,39450,38450,38650,8645,-0.12919896640826875
2020-02-06,38750,40950,38750,40350,12335,4.3984476067270375
2020-02-07,40900,41400,39850,40200,15581,-0.37174721189591076
2020-02-10,40000,40500,39250,39750,20500,-1.1194029850746268
2020-02-11,39750,41500,39600,39700,24861,-0.12578616352201258
2020-02-12,39800,40400,39600,40200,9210,1.2594458438287155
2020-02-13,40100,41000,39750,40200,6697,0.0
2020-02-14,39900,40400,39800,39800,7666,-0.9950248756218906
2020-02-17,39600,39950,39400,39800,4873,0.0
2020-02-18,39750,40450,39550,39750,7724,-0.12562814070351758
2020-02-19,40400,40400,39200,39450,6236,-0.7547169811320755
2020-02-20,39500,40000,39150,39300,13908,-0.38022813688212925
2020-02-21,39150,39400,38500,38650,11337,-1.653944020356234
2020-02-24,38500,38500,36550,36600,25898,-5.304010349288486
2020-02-25,35600,37550,35600,37200,28184,1.639344262295082
2020-02-26,36850,37850,36450,37700,13859,1.3440860215053763
2020-02-27,37750,37750,37250,37600,6850,-0.2652519893899204
2020-02-28,37250,37400,35750,36050,27645,-4.122340425531915
2020-03-02,36100,36300,35300,35700,45491,-0.9708737864077669
2020-03-03,36100,36900,36100,36450,10584,2.100840336134454
2020-03-04,36250,37650,36200,37650,10171,3.292181069958848
2020-03-05,38500,38600,37350,38500,7346,2.257636122177955
2020-03-06,38000,38800,37950,38450,38298,-0.12987012987012986
2020-03-09,38350,38450,37250,37550,36022,-2.340702210663199
2020-03-10,37000,37850,36550,37750,10554,0.5326231691078562
2020-03-11,38750,38750,36750,37100,7368,-1.7218543046357615
2020-03-12,36400,36800,34000,34800,26544,-6.199460916442049
2020-03-13,33200,33800,31550,33150,38463,-4.741379310344827
2020-03-16,34300,34550,32200,32300,37306,-2.564102564102564
2020-03-17,30900,32400,30600,30700,33314,-4.953560371517028
2020-03-18,31000,31000,29550,29700,22631,-3.257328990228013
2020-03-19,29100,30550,25250,25700,44532,-13.468013468013467
2020-03-20,26400,27650,24050,24950,58732,-2.9182879377431905
2020-03-23,24200,24200,20700,21200,85237,-15.030060120240481
2020-03-24,22550,23450,21100,23350,95746,10.141509433962264
2020-03-25,25700,27700,24750,27700,73610,18.629550321199144
2020-03-26,29000,29450,26900,27800,56301,0.36101083032490977
2020-03-27,29150,29750,28100,29200,32326,5.0359712230215825
2020-03-30,27900,30050,27200,29400,52375,0.684931506849315
2020-03-31,30700,30700,29500,30150,33584,2.5510204081632653
2020-04-01,30150,30300,28800,29100,37009,-3.482587064676617
2020-04-02,28950,29700,27950,29200,26454,0.3436426116838488
2020-04-03,29550,29550,28500,29000,18670,-0.684931506849315
2020-04-06,29000,30150,28900,30150,30373,3.9655172413793105
2020-04-07,31200,31200,30100,30400,35322,0.8291873963515755
2020-04-08,30100,30100,29400,29550,60596,-2.7960526315789473
2020-04-09,29900,30000,29450,29550,39941,0.0
2020-04-10,29550,30350,29100,30150,25734,2.030456852791878
2020-04-13,30150,30450,29400,29400,29044,-2.4875621890547266
2020-04-14,29650,30100,29500,30000,21852,2.0408163265306123
2020-04-16,29900,29900,28850,29750,24851,-0.8333333333333334
2020-04-17,30150,31400,30150,30900,61332,3.865546218487395
2020-04-20,31150,31250,30500,30850,31144,-0.16181229773462785
2020-04-21,30750,30750,29500,30200,33628,-2.106969205834684
2020-04-22,29650,29800,29200,29800,41079,-1.3245033112582782
2020-04-23,30000,30250,29750,29850,12363,0.16778523489932887
2020-04-24,29850,30200,29500,29650,10050,-0.6700167504187605
2020-04-27,29850,30400,29700,30350,35513,2.360876897133221
2020-04-28,30600,31150,30350,30800,44549,1.4827018121911038
2020-04-29,31150,32550,30600,32000,46576,3.896103896103896
2020-05-04,31750,31750,30500,30850,23268,-3.5937499999999996
2020-05-06,31300,31750,30700,31300,21109,1.4586709886547813
2020-05-07,31300,31300,30800,31250,16658,-0.1597444089456869
2020-05-08,31500,31750,31200,31500,44508,0.8
2020-05-11,31950,31950,31500,31600,16466,0.31746031746031744
2020-05-12,32000,32000,30800,31150,11064,-1.4240506329113924
2020-05-13,30900,31250,30400,31250,13654,0.32102728731942215
2020-05-14,30900,31050,30500,30500,10998,-2.4
2020-05-15,30850,30950,30350,30850,17423,1.1475409836065573
2020-05-18,30650,31200,29700,31000,39825,0.48622366288492713
2020-05-19,31900,32500,31250,32100,51489,3.5483870967741935
2020-05-20,31750,31950,31450,31700,31874,-1.2461059190031152
2020-05-21,32350,32400,31700,32250,27287,1.7350157728706623
2020-05-22,32400,32400,31400,31550,25605,-2.1705426356589146
2020-05-25,32000,32000,31050,31550,12384,0.0
2020-05-26,32050,32050,31650,31900,31992,1.109350237717908
2020-05-27,32350,32350,31750,32100,18980,0.6269592476489028
2020-05-28,33000,33700,31850,32200,37783,0.3115264797507788
2020-05-29,32400,33150,32150,32800,21424,1.8633540372670807
2020-06-01,32850,33800,32850,33650,22896,2.591463414634146
2020-06-02,33650,34500,33450,34450,18186,2.37741456166419
2020-06-03,34900,36900,34900,36000,37169,4.499274310595065
2020-06-04,37000,37500,34600,35000,41054,-2.7777777777777777
2020-06-05,35050,35500,34450,35400,13323,1.1428571428571428
2020-06-08,36100,36950,35650,36900,25006,4.23728813559322
2020-06-09,37250,37250,35600,35900,22548,-2.710027100271003
2020-06-10,35650,36100,34700,35350,18293,-1.532033426183844
2020-06-11,35350,35350,34000,34300,28943,-2.9702970297029703
2020-06-12,33300,33650,31400,32700,74351,-4.664723032069971
2020-06-15,32800,32800,31000,31000,40623,-5.198776758409786
2020-06-16,31300,33000,31150,32800,30540,5.806451612903226
2020-06-17,32950,33400,32100,32800,39037,0.0
2020-06-18,33300,34650,32850,34100,69013,3.9634146341463414
2020-06-19,34900,34900,33200,33450,47182,-1.906158357771261
2020-06-22,33250,33600,32600,32900,21867,-1.6442451420029895
2020-06-23,33300,33900,32600,32600,27690,-0.911854103343465
2020-06-24,32700,33400,32700,33200,16686,1.8404907975460123
2020-06-25,32900,32900,31900,32200,24622,-3.0120481927710845
2020-06-26,32550,32750,31200,32550,17480,1.0869565217391304
2020-06-29,32500,32500,31550,31700,21556,-2.61136712749616
2020-06-30,32050,33400,31750,31950,9565,0.7886435331230284
2020-07-01,32100,32600,32000,32100,16228,0.4694835680751174
2020-07-02,32150,32500,32150,32250,6232,0.46728971962616817
2020-07-03,32300,33100,32300,32750,14680,1.550387596899225
2020-07-06,32800,33250,32150,32800,20757,0.15267175572519084
2020-07-07,33050,33300,32050,32050,20053,-2.2865853658536586
2020-07-08,32050,33000,32000,32800,11736,2.3400936037441498
2020-07-09,32900,33250,32400,32600,20851,-0.6097560975609756
2020-07-10,32950,32950,32000,32300,13822,-0.9202453987730062
2020-07-13,32750,33150,32200,33050,24699,2.321981424148607
2020-07-14,33150,33300,32700,33300,14867,0.7564296520423601
2020-07-15,33650,34500,33500,34000,35481,2.1021021021021022
2020-07-16,34100,36000,34100,35400,51567,4.117647058823529
2020-07-17,35900,36500,35150,36150,30253,2.11864406779661
2020-07-20,36700,37500,35300,36350,29394,0.5532503457814661
2020-07-21,36400,37800,35200,37400,39302,2.8885832187070153
2020-07-22,36950,38350,36750,37300,24608,-0.267379679144385
2020-07-23,36950,37300,35800,36750,22446,-1.4745308310991956
2020-07-24,36000,36600,35500,35700,30193,-2.857142857142857
2020-07-27,35650,36650,35500,36150,22499,1.2605042016806722
2020-07-28,36150,36750,36150,36500,20235,0.9681881051175657
2020-07-29,36500,36850,36200,36850,12623,0.9589041095890412
2020-07-30,36850,37200,36350,36400,14690,-1.2211668928086838
2020-07-31,36800,36800,35900,36150,14423,-0.6868131868131868
2020-08-03,36250,37950,36250,37500,27081,3.7344398340248963
2020-08-04,37500,39400,37500,39400,41015,5.066666666666666
2020-08-05,41000,42600,39850,42600,74766,8.121827411167512
2020-08-06,43450,47500,42800,43100,100710,1.1737089201877933
2020-08-07,43650,44850,43000,44500,49209,3.248259860788863
2020-08-10,47450,52100,46150,51200,295349,15.056179775280897
2020-08-11,52200,54500,50100,50800,150250,-0.78125
2020-08-12,50800,51900,47850,49700,108269,-2.1653543307086616
2020-08-13,51000,51300,49100,49700,80715,0.0
2020-08-14,50600,50600,48050,50100,88969,0.8048289738430584
2020-08-18,51000,51400,46100,46300,125228,-7.584830339321358
2020-08-19,45850,49000,45850,47600,69641,2.8077753779697625
2020-08-20,47450,47450,44800,45350,77739,-4.726890756302521
2020-08-21,45650,46200,44300,45450,58407,0.2205071664829107
2020-08-24,44900,46700,42600,45400,178817,-0.11001100110011
2020-08-25,46800,48650,45800,48300,75386,6.387665198237885
2020-08-26,48200,50000,47000,47950,76030,-0.7246376811594203
2020-08-27,47850,48150,46200,46950,50587,-2.0855057351407713
2020-08-28,47600,49350,47600,48700,252091,3.727369542066028
2020-08-31,49750,51000,47500,48650,79101,-0.10266940451745381
2020-09-01,49850,49900,48850,48850,83060,0.41109969167523125
2020-09-02,49900,51100,49450,50700,143677,3.7871033776867966
2020-09-03,51500,52000,50200,51700,220284,1.9723865877712032
2020-09-04,49000,52500,48950,52400,158025,1.3539651837524178
2020-09-07,53600,68100,53600,68100,729360,29.961832061068705
2020-09-08,71600,74500,63500,64500,580829,-5.286343612334802
2020-09-09,62400,68600,61500,63300,323161,-1.8604651162790697
2020-09-10,65600,67300,63800,65800,279640,3.949447077409163
2020-09-11,65100,66400,64800,65500,211114,-0.4559270516717325
2020-09-14,65400,65500,63800,64300,126279,-1.8320610687022902
2020-09-15,64300,76400,60300,68900,1609084,7.153965785381026
2020-09-16,70500,72100,65900,69300,284686,0.5805515239477503
2020-09-17,70400,70700,68200,69200,126313,-0.1443001443001443
2020-09-18,69200,69500,67900,68700,76640,-0.7225433526011561
2020-09-21,69000,70300,66300,68000,131571,-1.0189228529839884
2020-09-22,66800,67300,62600,64100,182134,-5.735294117647059
2020-09-23,65300,65700,61000,63900,145832,-0.31201248049922
2020-09-24,69900,70900,63200,63300,548104,-0.9389671361502347
2020-09-25,64000,64000,59600,60900,167358,-3.7914691943127963
2020-09-28,61200,62500,59600,60300,97643,-0.9852216748768473
2020-09-29,60700,62600,60400,62000,101499,2.8192371475953566
2020-10-05,61900,62500,60700,62500,69124,0.8064516129032258
2020-10-06,62600,62900,61600,62700,78721,0.32
2020-10-07,61500,62900,61500,62700,37442,0.0
2020-10-08,63500,63500,62000,62300,35833,-0.6379585326953748
2020-10-12,62000,63400,61700,61700,50876,-0.9630818619582664
2020-10-13,62300,62300,60700,60900,42968,-1.2965964343598055
2020-10-14,60700,62300,59400,60200,56024,-1.1494252873563218
2020-10-15,60300,60700,57000,58300,100683,-3.1561461794019934
2020-10-16,58400,58700,56700,58400,72970,0.17152658662092624
2020-10-19,57700,58700,56800,57600,42583,-1.36986301369863
2020-10-20,57000,57800,56100,57500,42760,-0.1736111111111111
2020-10-21,58300,60700,57500,60200,73031,4.695652173913043
2020-10-22,60200,61600,58000,60000,58284,-0.33222591362126247
2020-10-23,60500,60900,59800,60200,37324,0.33333333333333337
2020-10-26,60200,61100,56300,58300,34060,-3.1561461794019934
2020-10-27,58300,59400,56800,57800,38509,-0.8576329331046313
2020-10-28,60000,60000,58800,59500,30450,2.941176470588235
2020-10-29,58500,59100,57800,59000,29469,-0.8403361344537815
2020-10-30,58900,59100,57600,57900,20552,-1.864406779661017
2020-11-02,57300,58200,57100,58100,24106,0.3454231433506045
2020-11-03,58200,59400,58100,58400,19017,0.5163511187607573
2020-11-04,58700,59200,57400,58000,39045,-0.684931506849315
2020-11-05,58500,59600,58000,59300,37083,2.2413793103448274
2020-11-06,60000,60100,58600,59100,22965,-0.33726812816188867
2020-11-09,59300,60500,58600,60100,44248,1.6920473773265652
2020-11-10,60500,61000,59600,60300,36547,0.33277870216306155
2020-11-11,60700,63500,60000,62400,112174,3.482587064676617
2020-11-12,62700,62800,61100,61500,41871,-1.4423076923076923
2020-11-13,61300,61500,60600,61100,28327,-0.6504065040650406
2020-11-16,61100,63000,61000,61900,55905,1.309328968903437
2020-11-17,61900,62400,61000,61000,37312,-1.4539579967689822
2020-11-18,61000,61400,60700,61100,18932,0.16393442622950818
2020-11-19,61000,61000,59700,60000,42204,-1.800327332242226
2020-11-20,60500,61200,59800,60700,24607,1.1666666666666667
2020-11-23,60300,61600,60000,60800,37500,0.16474464579901155
2020-11-24,61200,61200,60600,60800,32347,0.0
2020-11-25,61300,62500,60300,61000,81797,0.3289473684210526
2020-11-26,61300,62500,60500,62300,47273,2.1311475409836063
